ajt_sess,testSent,condition,word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,eng_ajt_sent.started,eng_ajt_sent.stopped,acceptability.response,acceptability.rt,acceptability.started,acceptability.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,God I wish I could come up with more,filler,,,,,,,0,0,0,0,0,0,0,24,,,,,,,,,,,,,,,,,14.887609958648682,None,16.90369987487793,None,space,2.6859710216522217,16.90369987487793,None,19.692883014678955,None,1.9,4.79980993270874,19.692883014678955,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,Chased the dog the cat,WOV,,,,,,,0,0,0,0,0,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,24.478529930114746,None,1.9,0.39265894889831543,24.478529930114746,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,women hold up half the sky,filler,,,,,,,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,24.896050930023193,None,1.9,0.3282008171081543,24.896050930023193,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,The dog the cat chased,filler,,,,,,,0,0,0,0,0,3,3,21,,,,,,,,,,,,,,,,,,,,,,,,,25.248718976974487,None,1.9,0.2696659564971924,25.248718976974487,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,here we gooooooo,filler,,,,,,,0,0,0,0,0,4,4,19,,,,,,,,,,,,,,,,,,,,,,,,,25.542972803115845,None,1.9,0.3164238929748535,25.542972803115845,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,you have nothing to lose but your chains,filler,,,,,,,0,0,0,0,0,5,5,28,,,,,,,,,,,,,,,,,,,,,,,,,25.88443684577942,None,1.9,0.2733938694000244,25.88443684577942,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,women hold up half the sky,filler,,,,,,,0,0,0,0,0,6,6,29,,,,,,,,,,,,,,,,,,,,,,,,,26.185123920440674,None,1.9,0.2389969825744629,26.185123920440674,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,come on brain,filler,,,,,,,0,0,0,0,0,7,7,13,,,,,,,,,,,,,,,,,,,,,,,,,26.449519872665405,None,1.9,0.5436148643493652,26.449519872665405,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,workers of the world,filler,,,,,,,0,0,0,0,0,8,8,26,,,,,,,,,,,,,,,,,,,,,,,,,27.015148878097534,None,1.9,0.30592799186706543,27.015148878097534,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,Chased the dog the cat,WOV,,,,,,,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,27.345125913619995,None,1.9,0.3068270683288574,27.345125913619995,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,The dog cried himself,ASV,,,,,,,0,0,0,0,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,27.676887035369873,None,1.9,0.25618600845336914,27.676887035369873,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,you have nothing to lose but your chains,filler,,,,,,,0,0,0,0,0,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,27.95695185661316,None,1.9,0.7072529792785645,27.95695185661316,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,The dog the cat chased,filler,,,,,,,0,0,0,0,0,12,12,1,,,,,,,,,,,,,,,,,,,,,,,,,28.688979864120483,None,1.9,0.3832550048828125,28.688979864120483,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,Hold up women half the sky,WOV,,,,,,,0,0,0,0,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,29.09691882133484,None,1.9,0.34034204483032227,29.09691882133484,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,The cat bit the dog,filler,,,,,,,0,0,0,0,0,14,14,23,,,,,,,,,,,,,,,,,,,,,,,,,29.46148180961609,None,1.9,0.30976009368896484,29.46148180961609,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,Yup my mind is blank rn,filler,,,,,,,0,0,0,0,0,15,15,5,,,,,,,,,,,,,,,,,,,,,,,,,29.796417951583862,None,1.9,3.791867971420288,29.796417951583862,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,come on brain,filler,,,,,,,0,0,0,0,0,16,16,15,,,,,,,,,,,,,,,,,,,,,,,,,33.612427949905396,None,1.9,0.5601649284362793,33.612427949905396,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,workers of the world,filler,,,,,,,0,0,0,0,0,17,17,6,,,,,,,,,,,,,,,,,,,,,,,,,34.20033597946167,None,1.9,0.269503116607666,34.20033597946167,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,God I wish I could come up with more,filler,,,,,,,0,0,0,0,0,18,18,4,,,,,,,,,,,,,,,,,,,,,,,,,34.49409198760986,None,1.9,0.2345900535583496,34.49409198760986,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,Yup my mind is blank rn,filler,,,,,,,0,0,0,0,0,19,19,25,,,,,,,,,,,,,,,,,,,,,,,,,34.75278401374817,None,1.9,0.32387495040893555,34.75278401374817,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,The cat bit the dog,filler,,,,,,,0,0,0,0,0,20,20,3,,,,,,,,,,,,,,,,,,,,,,,,,35.10119080543518,None,1.9,0.2567751407623291,35.10119080543518,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,Unite workers of the world,WOV,,,,,,,0,0,0,0,0,21,21,11,,,,,,,,,,,,,,,,,,,,,,,,,35.383543968200684,None,1.9,0.24127697944641113,35.383543968200684,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,unite,filler,,,,,,,0,0,0,0,0,22,22,27,,,,,,,,,,,,,,,,,,,,,,,,,35.64632296562195,None,1.9,0.3114960193634033,35.64632296562195,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,christ I give up,filler,,,,,,,0,0,0,0,0,23,23,17,,,,,,,,,,,,,,,,,,,,,,,,,36.00213694572449,None,1.9,0.271881103515625,36.00213694572449,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,think of things,filler,,,,,,,0,0,0,0,0,24,24,14,,,,,,,,,,,,,,,,,,,,,,,,,36.276604890823364,None,1.9,0.3152759075164795,36.276604890823364,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,unite,filler,,,,,,,0,0,0,0,0,25,25,7,,,,,,,,,,,,,,,,,,,,,,,,,36.61694097518921,None,1.9,0.28576207160949707,36.61694097518921,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,copy and paste,filler,,,,,,,0,0,0,0,0,26,26,18,,,,,,,,,,,,,,,,,,,,,,,,,36.926596879959106,None,1.9,0.3438289165496826,36.926596879959106,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,fuck me dude idk,filler,,,,,,,0,0,0,0,0,27,27,12,,,,,,,,,,,,,,,,,,,,,,,,,37.29223895072937,None,1.9,0.2460930347442627,37.29223895072937,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,The dog cried himself,ASV,,,,,,,0,0,0,0,0,28,28,22,,,,,,,,,,,,,,,,,,,,,,,,,37.561726808547974,None,1.9,0.2774631977081299,37.561726808547974,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
2,be so smart,filler,,,,,,,0,0,0,0,0,29,29,16,,,,,,,,,,,,,,,,,,,,,,,,,37.86342000961304,None,1.9,0.37344908714294434,37.86342000961304,None,,,,,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
,,,lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,49.28988599777222,None,49.28988599777222,None,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
,,,lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,50.1072518825531,None,50.1072518825531,None,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
,,,lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,60.039445877075195,None,60.039445877075195,None,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
,,,lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,62.5278058052063,None,62.5278058052063,None,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
,,,lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,63.0932559967041,None,63.0932559967041,None,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
,,,lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,63.80094599723816,None,63.80094599723816,None,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
,,,lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,1,,,,,,,,,,,,,,,,,,,64.9474048614502,None,64.9474048614502,None,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
,,,lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,2,,,,,,,,,,,,,,,,,,,65.35027194023132,None,65.35027194023132,None,,,,,,,,,1,2,2022-10-15_18h26.51.509,memory and syntax,2022.1.1,60.057533065762094,
