word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,answerbox.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_fb.started,participant,session,date,expName,psychopyVersion,frameRate,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,10.824164799996652,10.824164799996652,11.49518430000171,12.165460199990775,12.165460199990775,12.165460199990775,,,,,,,,,,,,,,,,1,2,2023-02-20_17h40.38.018,Memory and Syntax,2022.2.5,70.02188184064296,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,12.763126699996064,12.763126699996064,12.763126699996064,,,,,,,,,,,,,,,,1,2,2023-02-20_17h40.38.018,Memory and Syntax,2022.2.5,70.02188184064296,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,13.278591499998583,13.278591499998583,13.278591499998583,,,,,,,,,,,,,,,,1,2,2023-02-20_17h40.38.018,Memory and Syntax,2022.2.5,70.02188184064296,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,5,,,,,,,,,,,,13.818199400004232,13.818199400004232,13.818199400004232,,,,,,,,,,,,,,,,1,2,2023-02-20_17h40.38.018,Memory and Syntax,2022.2.5,70.02188184064296,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,14.385837599998922,14.385837599998922,14.385837599998922,,,,,,,,,,,,,,,,1,2,2023-02-20_17h40.38.018,Memory and Syntax,2022.2.5,70.02188184064296,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,4,,,,,,,,,,,,14.942703099994105,14.942703099994105,14.942703099994105,,,,,,,,,,,,,,,,1,2,2023-02-20_17h40.38.018,Memory and Syntax,2022.2.5,70.02188184064296,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,5,,,,,,,,,,,,15.552485199994408,15.552485199994408,15.552485199994408,,,,,,,,,,,,,,,,1,2,2023-02-20_17h40.38.018,Memory and Syntax,2022.2.5,70.02188184064296,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,2,,,,,,,,,,,,16.152119699996547,16.152119699996547,16.152119699996547,,,,,,,,,,,,,,,,1,2,2023-02-20_17h40.38.018,Memory and Syntax,2022.2.5,70.02188184064296,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,0,,,,,,,,,,,,16.7239830000035,16.7239830000035,16.7239830000035,,,,,,,,,,,,,,,,1,2,2023-02-20_17h40.38.018,Memory and Syntax,2022.2.5,70.02188184064296,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,1,,,,,,,,,,,,17.305655000003753,17.305655000003753,17.305655000003753,,,,,,,,,,,,,,,,1,2,2023-02-20_17h40.38.018,Memory and Syntax,2022.2.5,70.02188184064296,
