load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.duration,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
0.0002,0.1901,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,0.2313,53.1182,53.1336,55.2546,55.4406,57.2683,,0,57.2696,63.4754,o,0,6.1842,,63.4771,70.1935,c,6.6782,,70.1955,70.2014,,0,0,0,0,1,cvmt/sample/s1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,70.2186,72.213,,0,72.2156,72.6445,o,0,0.4025,,72.646,79.1094,c,6.4373,,79.1115,79.1147,,0,1,1,1,1,cvmt/sample/s2.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,79.134,81.1218,,0,81.1235,81.5228,o,1,0.382,,81.5247,81.5315,,,,81.5328,81.5351,,0,2,2,2,1,cvmt/sample/s3.jpg,o,,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,81.5388,83.5308,n,1,83.5327,83.5359,,0,,,83.5373,83.5405,,,,83.5417,83.5445,,0,3,3,3,1,cvmt/sample/s4.jpg,n,1.8589,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,83.5485,85.5445,,0,85.5463,85.6765,n,1,0.1129,,85.6779,85.6815,,,,85.6832,85.6862,,0,4,4,4,1,cvmt/sample/s5.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,85.6903,87.6891,o,0,87.6907,87.6943,,0,,,87.6956,91.1494,c,3.4296,,91.1514,91.1546,,0,5,5,5,1,cvmt/sample/s6.jpg,n,1.9378,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,91.1727,93.1584,n,0,93.1602,93.1674,,0,,,93.1706,95.9219,c,2.7212,,95.9239,95.927,,0,6,6,6,1,cvmt/sample/s7.jpg,o,1.4686,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,95.9316,97.9117,,0,97.9135,98.4008,n,1,0.4575,,98.4023,98.4081,,,,98.4097,98.4128,,0,7,7,7,1,cvmt/sample/s8.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,98.4164,100.4184,o,0,100.4201,100.4237,,0,,,100.4252,105.68,c,5.2249,,105.6811,105.6835,,0,8,8,8,1,cvmt/sample/s9.jpg,n,0.9925,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,105.7013,107.6857,n,1,107.6883,107.696,,0,,,107.6975,107.7026,,,,107.7041,107.7065,,0,9,9,9,1,cvmt/sample/s10.jpg,n,1.5747,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,107.7107,109.7136,n,0,109.7153,109.7184,,0,,,109.7199,113.1116,c,3.3554,,113.1138,122.2248,r,0,10,10,10,1,cvmt/sample/s11.jpg,o,1.0817,,9.0813,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,122.2445,124.2442,n,1,124.2459,124.2553,,0,,,124.2569,124.2616,,,,124.263,124.2668,,1,0,11,0,1,cvmt/sample/s1.jpg,n,0.7777,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,124.2715,126.2663,o,0,126.2684,126.2717,,0,,,126.2731,129.4633,c,3.1608,,129.4649,129.4685,,1,1,12,1,1,cvmt/sample/s2.jpg,n,1.1769,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,129.4875,131.4741,n,0,131.4758,131.483,,0,,,131.4845,133.1738,c,1.6639,,133.1758,133.1795,,1,2,13,2,1,cvmt/sample/s3.jpg,o,1.007,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,133.1852,135.1753,n,1,135.1771,135.1835,,0,,,135.185,135.1911,,,,135.1922,135.1944,,1,3,14,3,1,cvmt/sample/s4.jpg,n,1.5274,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,135.1981,137.1904,n,1,137.1919,137.195,,0,,,137.1965,137.2,,,,137.2016,137.204,,1,4,15,4,1,cvmt/sample/s5.jpg,n,1.3747,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,137.2077,139.1946,n,1,139.1963,139.1998,,0,,,139.2014,139.2055,,,,139.207,139.2097,,1,5,16,5,1,cvmt/sample/s6.jpg,n,1.2455,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,139.2134,141.2168,o,1,141.2186,141.222,,0,,,141.2236,141.2278,,,,141.2293,141.2315,,1,6,17,6,1,cvmt/sample/s7.jpg,o,1.826,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,141.2363,143.2431,o,0,143.2449,143.2486,,0,,,143.2507,146.1887,c,2.9108,,146.1902,146.1932,,1,7,18,7,1,cvmt/sample/s8.jpg,n,1.1016,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,146.198,148.1887,n,1,148.1904,148.1979,,0,,,148.1994,148.2034,,,,148.2045,148.207,,1,8,19,8,1,cvmt/sample/s9.jpg,n,1.145,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,148.2109,150.2134,n,1,150.2152,150.2187,,0,,,150.2204,150.2237,,,,150.2263,150.2289,,1,9,20,9,1,cvmt/sample/s10.jpg,n,1.184,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,150.2326,152.2385,n,0,152.2402,152.2437,,0,,,152.2454,157.1394,c,4.869,,157.1414,168.0382,r,1,10,21,10,1,cvmt/sample/s11.jpg,o,0.7995,,10.8639,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,168.0589,170.0476,o,0,170.0498,170.0558,,0,,,170.0573,172.7169,c,2.6252,,172.7188,172.7235,,2,0,22,0,1,cvmt/sample/s1.jpg,n,0.7995,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,172.7418,174.727,n,1,174.7287,174.7347,,0,,,174.7365,174.7416,,,,174.7427,174.745,,2,1,23,1,1,cvmt/sample/s2.jpg,n,0.6567,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,174.7487,176.7426,n,0,176.7444,176.7481,,0,,,176.7501,179.7072,c,2.9313,,179.7096,179.7129,,2,2,24,2,1,cvmt/sample/s3.jpg,o,0.3993,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,179.7183,181.7096,n,1,181.7114,181.718,,0,,,181.7194,181.7247,,,,181.7258,181.7282,,2,3,25,3,1,cvmt/sample/s4.jpg,n,1.0163,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,181.7318,183.7256,n,1,183.7275,183.7309,,0,,,183.7323,183.7357,,,,183.7376,183.7406,,2,4,26,4,1,cvmt/sample/s5.jpg,n,0.8141,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,183.7445,185.7364,o,0,185.7381,185.7413,,0,,,185.7428,188.4106,c,2.6338,,188.4122,188.4155,,2,5,27,5,1,cvmt/sample/s6.jpg,n,1.3997,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,188.4347,190.4244,,0,190.4261,205.9616,n,0,15.4991,,205.9633,215.4141,c,9.3727,,215.4158,215.4193,,2,6,28,6,1,cvmt/sample/s7.jpg,o,,,,,,,,,,,,,,,,,,,,,,,,,,
,,111083,036,1,2024-03-07_17h28.32.103,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,215.4383,217.4316,n,1,217.4334,217.4406,,0,,,217.4425,217.4474,,,,217.4488,217.4515,,2,7,29,7,1,cvmt/sample/s8.jpg,n,0.9334,,,,,,,,,,,,,,,,,,,,,,,,,
