word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,answerbox.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_fb.started,participant,session,date,expName,psychopyVersion,frameRate,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,14.24518949999765,14.24518949999765,15.336241800003336,16.24291699999594,16.24291699999594,16.24291699999594,,,,,,,,,,,,,,,,1,2,2023-02-20_17h50.30.390,Memory and Syntax,2022.2.5,69.85440246321363,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,16.81921479999437,16.81921479999437,16.81921479999437,,,,,,,,,,,,,,,,1,2,2023-02-20_17h50.30.390,Memory and Syntax,2022.2.5,69.85440246321363,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,5,,,,,,,,,,,,17.144679399993038,17.144679399993038,17.144679399993038,,,,,,,,,,,,,,,,1,2,2023-02-20_17h50.30.390,Memory and Syntax,2022.2.5,69.85440246321363,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,17.319101599990972,17.319101599990972,17.319101599990972,,,,,,,,,,,,,,,,1,2,2023-02-20_17h50.30.390,Memory and Syntax,2022.2.5,69.85440246321363,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,17.48836279999523,17.48836279999523,17.48836279999523,,,,,,,,,,,,,,,,1,2,2023-02-20_17h50.30.390,Memory and Syntax,2022.2.5,69.85440246321363,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,4,,,,,,,,,,,,17.64640669999062,17.64640669999062,17.64640669999062,,,,,,,,,,,,,,,,1,2,2023-02-20_17h50.30.390,Memory and Syntax,2022.2.5,69.85440246321363,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,5,,,,,,,,,,,,17.799269700000877,17.799269700000877,17.799269700000877,,,,,,,,,,,,,,,,1,2,2023-02-20_17h50.30.390,Memory and Syntax,2022.2.5,69.85440246321363,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,3,,,,,,,,,,,,18.08502889999363,18.08502889999363,18.08502889999363,,,,,,,,,,,,,,,,1,2,2023-02-20_17h50.30.390,Memory and Syntax,2022.2.5,69.85440246321363,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,2,,,,,,,,,,,,18.25549399999727,18.25549399999727,18.25549399999727,,,,,,,,,,,,,,,,1,2,2023-02-20_17h50.30.390,Memory and Syntax,2022.2.5,69.85440246321363,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,4,,,,,,,,,,,,18.456686499994248,18.456686499994248,18.456686499994248,,,,,,,,,,,,,,,,1,2,2023-02-20_17h50.30.390,Memory and Syntax,2022.2.5,69.85440246321363,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,0,,,,,,,,,,,,18.855985100002727,18.855985100002727,18.855985100002727,,,,,,,,,,,,,,,,1,2,2023-02-20_17h50.30.390,Memory and Syntax,2022.2.5,69.85440246321363,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,1,,,,,,,,,,,,19.25249289999192,19.25249289999192,19.25249289999192,,,,,,,,,,,,,,,,1,2,2023-02-20_17h50.30.390,Memory and Syntax,2022.2.5,69.85440246321363,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,19.64985929999966,19.64985929999966,t,1.1221894000045722,20.788891499993042,20.788891499993042,21.541759300002013,lu pleck,"[12.492164600000251, 0.044319399996311404, 12.867948200000683, 0.27039439999498427, 12.914019399991957, 0.3843442000070354, 13.126009199986584, 0.4881712000060361, 14.044237299982342]",21.541759300002013,21.541759300002013,21.541759300002013,"['l', 'u', 'space', 'p', 'l', 'e', 'c', 'k', 'return']","[12.492164600000251, 12.536483999996562, 12.912267599996994, 13.138342599995667, 13.184413799986942, 13.298363599998993, 13.510353399993619, 13.61418039999262, 14.532408499988378]",36.094514500000514,1,2,2023-02-20_17h50.30.390,Memory and Syntax,2022.2.5,69.85440246321363,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.10754420000012,lu blom,"[0.8605348999990383, 0.24196359999768902, 1.0845340999949258, 0.41399010000168346, 1.1845085999957519, 0.5782291000068653, 1.3042749999876833, 1.2743819000170333, 1.4600479999789968, 1.4163960000150837, 2.164130999983172, 1.540376600023592, 2.584365099974093, 1.6901180000277236, 2.8288335999677656, 1.8597440000303322, 2.9327807999652578, 2.1038746000413084]",37.10754420000012,37.10754420000012,37.10754420000012,"['l', 'u', 'space', 'b', 'l', 'o', 'm', 'backspace', 'backspace', 'backspace', 'backspace', 'o', 'm', 'backspace', 'backspace', 'l', 'o', 'm', 'return']","[0.8605348999990383, 1.1024984999967273, 1.3264976999926148, 1.4985241999966092, 1.5984986999974353, 1.7627377000026172, 1.8825040999945486, 2.4185888999927556, 2.5786569000047166, 2.73442989999603, 2.8764439999940805, 3.5805269999982556, 3.704507600006764, 4.124741699997685, 4.274483100001817, 4.518951599995489, 4.688577599998098, 4.79252479999559, 5.036655400006566]",42.15979530000186,,,,,,,
