load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.duration,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
,,117220,080,1,2024-03-06_22h25.11.254,Memory and Syntax,2023.2.3,Win32,144.9275362,,,,,293.6539,295.6534,n,0,295.6534,295.6536,,0,,,295.6536,295.6537,,,,295.6537,295.6537,,0,123,123,123,1,cvmt/test_items/t124.jpeg,o,1.5269,,,,,,,,,,,,,,,,,,,,,,,,,
,,117220,080,1,2024-03-06_22h25.11.254,Memory and Syntax,2023.2.3,Win32,144.9275362,,,,,295.6537,297.6368,o,1,297.6368,297.6368,,0,,,297.6368,297.637,,,,297.637,297.6371,,0,124,124,124,1,cvmt/test_items/t125.jpeg,o,0.5927,,,,,,,,,,,,,,,,,,,,,,,,,
,,117220,080,1,2024-03-06_22h25.11.254,Memory and Syntax,2023.2.3,Win32,144.9275362,,,,,297.6371,299.6387,o,1,299.6388,299.6388,,0,,,299.6389,299.639,,,,299.639,299.639,,0,125,125,125,1,cvmt/test_items/t126.jpeg,o,0.7254,,,,,,,,,,,,,,,,,,,,,,,,,
,,117220,080,1,2024-03-06_22h25.11.254,Memory and Syntax,2023.2.3,Win32,144.9275362,,,,,299.639,301.6218,o,1,301.6218,301.6218,,0,,,301.6219,301.622,,,,301.622,301.622,,0,126,126,126,1,cvmt/test_items/t127.jpeg,o,0.6282,,,,,,,,,,,,,,,,,,,,,,,,,
,,117220,080,1,2024-03-06_22h25.11.254,Memory and Syntax,2023.2.3,Win32,144.9275362,,,,,301.622,303.6205,o,1,303.6205,303.6206,,0,,,303.6206,303.6208,,,,303.6208,303.6208,,0,127,127,127,1,cvmt/test_items/t128.jpeg,o,0.7662,,,,,,,,,,,,,,,,,,,,,,,,,
,,117220,080,1,2024-03-06_22h25.11.254,Memory and Syntax,2023.2.3,Win32,144.9275362,,,,,303.6209,305.6097,o,1,305.6097,305.6098,,0,,,305.6098,305.6099,,,,305.6099,305.61,,0,128,128,128,1,cvmt/test_items/t129.jpeg,o,0.7566,,,,,,,,,,,,,,,,,,,,,,,,,
,,117220,080,1,2024-03-06_22h25.11.254,Memory and Syntax,2023.2.3,Win32,144.9275362,,,,,305.6101,307.5896,o,1,307.5896,307.5897,,0,,,307.5897,307.5898,,,,307.5898,307.5898,,0,129,129,129,1,cvmt/test_items/t130.jpeg,o,0.7956,,,,,,,,,,,,,,,,,,,,,,,,,
,,117220,080,1,2024-03-06_22h25.11.254,Memory and Syntax,2023.2.3,Win32,144.9275362,,,,,307.5899,309.5705,o,0,309.5706,309.5707,,0,,,309.5707,309.5708,,,,309.5708,309.5708,,0,130,130,130,1,cvmt/test_items/t131.jpeg,n,0.7944,,,,,,,,,,,,,,,,,,,,,,,,,
,,117220,080,1,2024-03-06_22h25.11.254,Memory and Syntax,2023.2.3,Win32,144.9275362,,,,,309.5709,311.5708,o,1,311.5708,311.5709,,0,,,311.5709,311.5711,,,,311.5711,311.5711,,0,131,131,131,1,cvmt/test_items/t132.jpeg,o,0.7023,,,,,,,,,,,,,,,,,,,,,,,,,
,,117220,080,1,2024-03-06_22h25.11.254,Memory and Syntax,2023.2.3,Win32,144.9275362,,,,,311.5711,313.5422,o,1,313.5423,313.5423,,0,,,313.5424,313.5425,,,,313.5425,313.5425,,0,132,132,132,1,cvmt/test_items/t133.jpeg,o,0.711,,,,,,,,,,,,,,,,,,,,,,,,,
