word,img,sentence,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,S2_sentLearnTrials.thisRepN,S2_sentLearnTrials.thisTrialN,S2_sentLearnTrials.thisN,S2_sentLearnTrials.thisIndex,S2_sentPraxPhase.thisRepN,S2_sentPraxPhase.thisTrialN,S2_sentPraxPhase.thisN,S2_sentPraxPhase.thisIndex,s2_sentPrax_C,s2_sentPrax_P,s4_sentPrax_C,s4_sentPrax_P,s5_sentPrax_C,s5_sentPrax_P,s6_sentPrax_C,s6_sentPrax_P,S2_sentPraxC_block.thisRepN,S2_sentPraxC_block.thisTrialN,S2_sentPraxC_block.thisN,S2_sentPraxC_block.thisIndex,S2_sentPraxP_block.thisRepN,S2_sentPraxP_block.thisTrialN,S2_sentPraxP_block.thisN,S2_sentPraxP_block.thisIndex,S2_sentPraxP_trials.thisRepN,S2_sentPraxP_trials.thisTrialN,S2_sentPraxP_trials.thisN,S2_sentPraxP_trials.thisIndex,target,foils,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,answerbox.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_fb.started,S2_vtest_fb.stopped,S2_vtest_eval.started,S2_v_phase_end.started,S2_v_phase_end.keys,S2_v_phase_end.rt,sent_learn_instr_text.started,sent_learn_begin.started,sent_learn_img.started,sent_text.started,sent_prax_instr_text.started,sent_prax_begin.started,sentPrax_P_instr_text.started,sentPrax_P_begin.started,blankITI_2.started,participant,session,date,expName,psychopyVersion,frameRate,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.295046000013826,11.295046000013826,23.8311120000144,25.0676277000166,25.0676277000166,25.0676277000166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h02.02.074,Memory and Syntax,2022.2.5,174.4470030188426,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.971480900014285,25.971480900014285,25.971480900014285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h02.02.074,Memory and Syntax,2022.2.5,174.4470030188426,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.552281900017988,26.552281900017988,26.552281900017988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h02.02.074,Memory and Syntax,2022.2.5,174.4470030188426,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.04428740000003,27.04428740000003,27.04428740000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h02.02.074,Memory and Syntax,2022.2.5,174.4470030188426,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.514845500001684,27.514845500001684,27.514845500001684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h02.02.074,Memory and Syntax,2022.2.5,174.4470030188426,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.978524100006325,27.978524100006325,27.978524100006325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h02.02.074,Memory and Syntax,2022.2.5,174.4470030188426,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.47944580001058,28.47944580001058,28.47944580001058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h02.02.074,Memory and Syntax,2022.2.5,174.4470030188426,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.94671770001878,28.94671770001878,28.94671770001878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h02.02.074,Memory and Syntax,2022.2.5,174.4470030188426,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.341717200004496,29.341717200004496,29.341717200004496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h02.02.074,Memory and Syntax,2022.2.5,174.4470030188426,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.776765100017656,29.776765100017656,29.776765100017656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h02.02.074,Memory and Syntax,2022.2.5,174.4470030188426,
