word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vocabTest_resp,S2_vocabTest_resp.rts,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,17.977937936782837,None,19.985384941101074,None,space,1.0039141178131104,19.985384941101074,None,25.798555850982666,None,25.798555850982666,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h00.50.030,memory and syntax,2022.1.1,59.81966974633392,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,28.098742961883545,None,28.098742961883545,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h00.50.030,memory and syntax,2022.1.1,59.81966974633392,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,29.627728939056396,None,29.627728939056396,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h00.50.030,memory and syntax,2022.1.1,59.81966974633392,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,30.723208904266357,None,30.723208904266357,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h00.50.030,memory and syntax,2022.1.1,59.81966974633392,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,31.28770399093628,None,31.28770399093628,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h00.50.030,memory and syntax,2022.1.1,59.81966974633392,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,32.69552779197693,None,32.69552779197693,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h00.50.030,memory and syntax,2022.1.1,59.81966974633392,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,3,,,,,,,,,,,,,,,,,34.330519914627075,None,34.330519914627075,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h00.50.030,memory and syntax,2022.1.1,59.81966974633392,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,2,,,,,,,,,,,,,,,,,34.774648904800415,None,34.774648904800415,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h00.50.030,memory and syntax,2022.1.1,59.81966974633392,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,0,,,,,,,,,,,,,,,,,36.0544798374176,None,36.0544798374176,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h00.50.030,memory and syntax,2022.1.1,59.81966974633392,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,5,,,,,,,,,,,,,,,,,36.76057577133179,None,36.76057577133179,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h00.50.030,memory and syntax,2022.1.1,59.81966974633392,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,1,,,,,,,,,,,,,,,,,38.07955598831177,None,38.07955598831177,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h00.50.030,memory and syntax,2022.1.1,59.81966974633392,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,4,,,,,,,,,,,,,,,,,39.21429991722107,None,39.21429991722107,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h00.50.030,memory and syntax,2022.1.1,59.81966974633392,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,39.955240964889526,None,t,1.9686980247497559,39.955240964889526,None,41.95613479614258,None,lu pleck,[2.431130886077881],"['l', 'u', 'space', 'p', 'l', 'e', 'c', 'k', 'return']","[0.9377379417419434, 1.181030035018921, 1.3639240264892578, 1.654392957687378, 1.7311458587646484, 1.8539979457855225, 2.060554027557373, 2.147007942199707, 2.431130886077881]",42.96572399139404,None,42.96572399139404,None,42.96572399139404,None,45.428653955459595,None,1,2,2022-10-15_21h00.50.030,memory and syntax,2022.1.1,59.81966974633392,
