load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,170.0921,172.0899,o,1,172.09,172.0903,,0,,,172.0903,172.091,,172.091,172.0911,,0,33,33,33,1,cvmt/test_items/t34.jpeg,o,0.8638,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,172.0916,174.0898,n,1,174.0899,174.0902,,0,,,174.0903,174.0908,,174.0908,174.0909,,0,34,34,34,1,cvmt/test_items/t35.jpeg,n,0.9465,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,174.0913,176.09,o,1,176.09,176.0902,,0,,,176.0902,176.0908,,176.0908,176.0909,,0,35,35,35,1,cvmt/test_items/t36.jpeg,o,0.7635,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,176.0912,178.0899,n,1,178.0899,178.0902,,0,,,178.0903,178.0907,,178.0908,178.0908,,0,36,36,36,1,cvmt/test_items/t37.jpeg,n,0.9323,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,178.0912,180.0895,o,1,180.0895,180.0898,,0,,,180.0898,180.09,,180.09,180.09,,0,37,37,37,1,cvmt/test_items/t38.jpeg,o,0.7787,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,180.0901,182.0902,n,1,182.0903,182.0906,,0,,,182.0906,182.0911,,182.0911,182.0912,,0,38,38,38,1,cvmt/test_items/t39.jpeg,n,0.7066,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,182.0916,184.09,n,0,184.0901,184.0903,,0,,,184.0904,184.091,,184.091,184.0911,,0,39,39,39,1,cvmt/test_items/t40.jpeg,o,0.7821,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,184.0914,186.09,n,1,186.09,186.0903,,0,,,186.0903,186.091,,186.091,186.0911,,0,40,40,40,1,cvmt/test_items/t41.jpeg,n,0.7662,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,186.0915,188.0898,o,1,188.0898,188.0899,,0,,,188.09,188.0904,,188.0904,188.0905,,0,41,41,41,1,cvmt/test_items/t42.jpeg,o,0.8602,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,188.0907,190.0894,o,1,190.0894,190.0894,,0,,,190.0894,190.0897,,190.0897,190.0897,,0,42,42,42,1,cvmt/test_items/t43.jpeg,o,0.8839,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,190.0897,192.0899,n,1,192.0899,192.0901,,0,,,192.0902,192.0907,,192.0908,192.0909,,0,43,43,43,1,cvmt/test_items/t44.jpeg,n,1.5735,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,192.0912,194.0899,n,0,194.0899,194.0902,,0,,,194.0903,194.0907,,194.0908,194.0909,,0,44,44,44,1,cvmt/test_items/t45.jpeg,o,1.2632,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,194.0911,196.0899,o,1,196.09,196.0902,,0,,,196.0903,196.0909,,196.0909,196.091,,0,45,45,45,1,cvmt/test_items/t46.jpeg,o,0.8787,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,196.0913,198.0898,n,0,198.0899,198.0901,,0,,,198.0902,198.0906,,198.0907,198.0908,,0,46,46,46,1,cvmt/test_items/t47.jpeg,o,1.1086,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,198.0911,200.0898,n,1,200.0898,200.0901,,0,,,200.0901,200.0905,,200.0905,200.0906,,0,47,47,47,1,cvmt/test_items/t48.jpeg,n,1.5003,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,200.0909,202.0899,o,1,202.09,202.0902,,0,,,202.0903,202.0907,,202.0908,202.0908,,0,48,48,48,1,cvmt/test_items/t49.jpeg,o,0.8772,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,202.0912,204.09,n,0,204.09,204.0903,,0,,,204.0903,204.0908,,204.0908,204.0909,,0,49,49,49,1,cvmt/test_items/t50.jpeg,o,1.0292,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,204.0913,206.0899,n,1,206.09,206.0902,,0,,,206.0902,206.0907,,206.0907,206.0908,,0,50,50,50,1,cvmt/test_items/t51.jpeg,n,1.0453,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,206.0912,208.0899,o,1,208.0899,208.0901,,0,,,208.0901,208.0907,,208.0907,208.0907,,0,51,51,51,1,cvmt/test_items/t52.jpeg,o,0.8747,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,208.0911,210.0898,o,1,210.0899,210.0902,,0,,,210.0902,210.0907,,210.0907,210.0908,,0,52,52,52,1,cvmt/test_items/t53.jpeg,o,1.0805,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,210.0911,212.09,n,0,212.0901,212.0903,,0,,,212.0903,212.0909,,212.091,212.091,,0,53,53,53,1,cvmt/test_items/t54.jpeg,o,0.9198,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,212.0913,214.0899,o,1,214.09,214.0902,,0,,,214.0902,214.0907,,214.0908,214.0909,,0,54,54,54,1,cvmt/test_items/t55.jpeg,o,1.062,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,214.0912,216.0898,n,0,216.0899,216.0902,,0,,,216.0902,216.0907,,216.0907,216.0908,,0,55,55,55,1,cvmt/test_items/t56.jpeg,o,0.8334,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,216.0912,218.09,o,1,218.09,218.0903,,0,,,218.0903,218.091,,218.091,218.0911,,0,56,56,56,1,cvmt/test_items/t57.jpeg,o,0.6904,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,218.0914,220.0898,n,1,220.09,220.0901,,0,,,220.0902,220.0907,,220.0907,220.0908,,0,57,57,57,1,cvmt/test_items/t58.jpeg,n,0.9745,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,220.0911,222.0899,n,1,222.09,222.0903,,0,,,222.0903,222.0908,,222.0908,222.0908,,0,58,58,58,1,cvmt/test_items/t59.jpeg,n,0.9501,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,222.0912,224.0899,n,0,224.09,224.0903,,0,,,224.0904,224.0908,,224.0908,224.0909,,0,59,59,59,1,cvmt/test_items/t60.jpeg,o,1.417,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,224.0913,226.0899,n,0,226.09,226.0901,,0,,,226.0902,226.0907,,226.0908,226.0909,,0,60,60,60,1,cvmt/test_items/t61.jpeg,o,0.9489,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,226.0912,228.0899,o,1,228.0899,228.0902,,0,,,228.0902,228.0907,,228.0907,228.0908,,0,61,61,61,1,cvmt/test_items/t62.jpeg,o,0.8825,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,228.0911,230.0899,n,0,230.09,230.0902,,0,,,230.0903,230.0911,,230.0912,230.0912,,0,62,62,62,1,cvmt/test_items/t63.jpeg,o,0.7483,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,230.0916,232.0899,n,0,232.0899,232.0902,,0,,,232.0902,232.0908,,232.0908,232.0909,,0,63,63,63,1,cvmt/test_items/t64.jpeg,o,0.9065,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,232.0912,234.0898,o,1,234.0899,234.0901,,0,,,234.0901,234.0906,,234.0907,234.0907,,0,64,64,64,1,cvmt/test_items/t65.jpeg,o,0.8101,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,234.091,236.09,n,0,236.09,236.0903,,0,,,236.0904,236.0909,,236.091,236.0911,,0,65,65,65,1,cvmt/test_items/t66.jpeg,o,0.845,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,236.0915,238.0898,n,1,238.0898,238.0901,,0,,,238.0901,238.0906,,238.0906,238.0906,,0,66,66,66,1,cvmt/test_items/t67.jpeg,n,0.8998,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,238.091,240.0901,n,0,240.0902,240.0905,,0,,,240.0905,240.0912,,240.0912,240.0913,,0,67,67,67,1,cvmt/test_items/t68.jpeg,o,0.8817,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,240.0916,242.0897,n,0,242.0899,242.09,,0,,,242.0901,242.0906,,242.0906,242.0907,,0,68,68,68,1,cvmt/test_items/t69.jpeg,o,0.8309,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,242.0911,244.0898,o,1,244.0899,244.0901,,0,,,244.0902,244.0908,,244.0908,244.0909,,0,69,69,69,1,cvmt/test_items/t70.jpeg,o,1.2939,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,244.0912,246.0899,o,0,246.09,246.0902,,0,,,246.0903,246.0908,,246.0908,246.0909,,0,70,70,70,1,cvmt/test_items/t71.jpeg,n,0.7801,,,,,,,,,,,,,,,,,,,,,,,
