word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,14.980998992919922,None,16.976490020751953,None,space,13.501679182052612,16.976490020751953,None,36.56617593765259,None,36.56617593765259,None,,,,,,,,,1,2,2022-10-15_21h19.00.152,memory and syntax,2022.1.1,59.87303952847332,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,43.22744107246399,None,43.22744107246399,None,,,,,,,,,1,2,2022-10-15_21h19.00.152,memory and syntax,2022.1.1,59.87303952847332,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,4,,,,,,,,,,,,,45.32567000389099,None,45.32567000389099,None,,,,,,,,,1,2,2022-10-15_21h19.00.152,memory and syntax,2022.1.1,59.87303952847332,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,,,,,,,,,47.15034890174866,None,47.15034890174866,None,,,,,,,,,1,2,2022-10-15_21h19.00.152,memory and syntax,2022.1.1,59.87303952847332,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,5,,,,,,,,,,,,,48.337307929992676,None,48.337307929992676,None,,,,,,,,,1,2,2022-10-15_21h19.00.152,memory and syntax,2022.1.1,59.87303952847332,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,1,,,,,,,,,,,,,49.93253493309021,None,49.93253493309021,None,,,,,,,,,1,2,2022-10-15_21h19.00.152,memory and syntax,2022.1.1,59.87303952847332,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,4,,,,,,,,,,,,,51.67852807044983,None,51.67852807044983,None,,,,,,,,,1,2,2022-10-15_21h19.00.152,memory and syntax,2022.1.1,59.87303952847332,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,1,,,,,,,,,,,,,54.503255128860474,None,54.503255128860474,None,,,,,,,,,1,2,2022-10-15_21h19.00.152,memory and syntax,2022.1.1,59.87303952847332,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,5,,,,,,,,,,,,,60.01203894615173,None,60.01203894615173,None,,,,,,,,,1,2,2022-10-15_21h19.00.152,memory and syntax,2022.1.1,59.87303952847332,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,2,,,,,,,,,,,,,65.27971005439758,None,65.27971005439758,None,,,,,,,,,1,2,2022-10-15_21h19.00.152,memory and syntax,2022.1.1,59.87303952847332,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,3,,,,,,,,,,,,,67.29269194602966,None,67.29269194602966,None,,,,,,,,,1,2,2022-10-15_21h19.00.152,memory and syntax,2022.1.1,59.87303952847332,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,0,,,,,,,,,,,,,69.5869710445404,None,69.5869710445404,None,,,,,,,,,1,2,2022-10-15_21h19.00.152,memory and syntax,2022.1.1,59.87303952847332,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.17958498001099,None,t,49.685173988342285,72.17958498001099,None,121.89497208595276,None,,,,,,,
