word,img,sentence,s2_sentPrax_C,s2_sentPrax_P,s4_sentPrax_C,s4_sentPrax_P,s5_sentPrax_C,s5_sentPrax_P,s6_sentPrax_C,s6_sentPrax_P,target,foils,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,S2_sentLearnTrials.thisRepN,S2_sentLearnTrials.thisTrialN,S2_sentLearnTrials.thisN,S2_sentLearnTrials.thisIndex,S2_sentPraxPhase.thisRepN,S2_sentPraxPhase.thisTrialN,S2_sentPraxPhase.thisN,S2_sentPraxPhase.thisIndex,S2_sentPraxC_block.thisRepN,S2_sentPraxC_block.thisTrialN,S2_sentPraxC_block.thisN,S2_sentPraxC_block.thisIndex,S2_sentPraxC_trials.thisRepN,S2_sentPraxC_trials.thisTrialN,S2_sentPraxC_trials.thisN,S2_sentPraxC_trials.thisIndex,too_fast_punish2.thisRepN,too_fast_punish2.thisTrialN,too_fast_punish2.thisN,too_fast_punish2.thisIndex,S2_sentPraxP_block.thisRepN,S2_sentPraxP_block.thisTrialN,S2_sentPraxP_block.thisN,S2_sentPraxP_block.thisIndex,S2_sentPraxP_trials.thisRepN,S2_sentPraxP_trials.thisTrialN,S2_sentPraxP_trials.thisN,S2_sentPraxP_trials.thisIndex,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,answerbox.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_fb.started,S2_vtest_eval.started,S2_v_phase_end.started,S2_v_phase_end.keys,S2_v_phase_end.rt,sent_learn_instr_text.started,sent_learn_begin.started,sent_learn_img.started,sent_text.started,sent_prax_instr_text.started,sent_prax_begin.started,sentPrax_C_instr_text.started,comp_target1.started,comp_target2.started,comp_target3.started,comp_target4.started,sentPrax_C_begin.started,blankITI.started,sentPrax_trg_sent.started,blankITI.stopped,sentPrax_trg_sent.stopped,top_left_img.started,top_right_img.started,bott_left_img.started,bott_right_img.started,target1.started,target2.started,target3.started,target4.started,sentPrax_trg_sent_2.started,S2_sentPrax_C_resp.started,S2_sentPrax_C_resp.keys,S2_sentPrax_C_resp.corr,S2_sentPrax_C_resp.rt,sentPrax_C_fb.started,sentPrax_score_update.started,sentPrax_P_instr_text.started,sentPrax_P_begin.started,blankITI_2.started,sent_Prax_P_img.started,blankITI_2.stopped,sent_Prax_P_img.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.828499900002498,14.828499900002498,14.828499900002498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-20_17h57.39.072,Memory and Syntax,2022.2.5,71.82839908010429,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.270398299995577,15.270398299995577,15.270398299995577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-20_17h57.39.072,Memory and Syntax,2022.2.5,71.82839908010429,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.640119899995625,15.640119899995625,t,1.1845470999978716,16.84979029999522,16.84979029999522,17.488839999990887,lu pleck,"[7.34984299998905, 0.11802360000729095, 7.485868599978858, 0.6100251000170829, 7.568164499971317, 0.6956770000251709, 7.762237299961271, 0.754071700037457, 8.574213299958501]",17.488839999990887,17.488839999990887,17.488839999990887,"['l', 'u', 'space', 'p', 'l', 'e', 'c', 'k', 'return']","[7.34984299998905, 7.467866599996341, 7.603892199986149, 8.09589369999594, 8.1781895999884, 8.263841499996488, 8.457914299986442, 8.516308999998728, 9.328284999995958]",26.844725899994955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-20_17h57.39.072,Memory and Syntax,2022.2.5,71.82839908010429,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.858823999995366,lu neep,"[2.845877100000507, 1.2700493000011193, 3.06788790000428, 1.5961472999915713, 3.3357355000043754, 1.740168399992399, 3.5297423000010895, 1.9862253000028431, 3.683751399992616, 2.136118800000986, 3.8441013999981806, 2.301894300006097, 4.014231799999834, 3.1278132000006735, 4.152138099991134, 3.2878984000126366, 4.263998699985677, 3.434133400020073, 4.38802869997744, 3.746291100018425]",27.858823999995366,27.858823999995366,27.858823999995366,"['l', 'u', 'u', 'space', 'n', 'e', 'e', 'p', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'u', 'space', 'n', 'e', 'e', 'p', 'return']","[2.845877100000507, 3.0441466000047512, 4.1159264000016265, 4.337937200005399, 4.664035199995851, 4.931882799995947, 5.075903899996774, 5.269910699993488, 5.515967600003933, 5.669976699995459, 5.819870199993602, 5.980220199999167, 6.145995700004278, 6.316126100005931, 7.142045000000508, 7.279951299991808, 7.440036500003771, 7.551897099998314, 7.6981321000057505, 7.822162099997513, 8.134319799995865]",36.0140698000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-20_17h57.39.072,Memory and Syntax,2022.2.5,71.82839908010429,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.02798800000164,lu blom,"[0.9527143999875989, 0.28233390000241343, 1.1024687999888556, 0.4382989000005182, 1.1983804999908898, 0.6206789999996545, 1.3220843999879435, 1.0248520000022836]",37.02798800000164,37.02798800000164,37.02798800000164,"['l', 'u', 'space', 'b', 'l', 'o', 'm', 'return']","[0.9527143999875989, 1.2350482999900123, 1.384802699991269, 1.5407676999893738, 1.636679399991408, 1.8190594999905443, 1.942763399987598, 2.346936399990227]",39.40258169999288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-20_17h57.39.072,Memory and Syntax,2022.2.5,71.82839908010429,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.41649589998997,lu vode,"[0.9042378000012832, 0.2880516000004718, 1.5422524000023259, 2.501926099997945, 1.660443300002953, 2.5942218999989564, 1.8303051000111736, 2.804361599992262]",40.41649589998997,40.41649589998997,40.41649589998997,"['l', 'u', 'space', 'v', 'o', 'd', 'e', 'return']","[0.9042378000012832, 1.192289400001755, 1.8303040000027977, 4.044178500000271, 4.162369400000898, 4.254665200001909, 4.42452700001013, 4.634666700003436]",45.06931349998922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-20_17h57.39.072,Memory and Syntax,2022.2.5,71.82839908010429,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.08631929999683,lu troise,"[0.8164452000055462, 0.5499189999973169, 1.2308200000115903, 0.9875422999903094, 1.405215800012229, 1.0911588999879314, 1.5633408000139752, 1.1690324999945005, 1.6993889000150375, 1.3831980999966618]",46.08631929999683,46.08631929999683,46.08631929999683,"['l', 'u', 'space', 't', 'r', 'o', 'i', 's', 'e', 'return']","[0.8164452000055462, 1.366364200002863, 1.7807390000089072, 2.2183623000018997, 2.3927581000025384, 2.4963747000001604, 2.6544997000019066, 2.732373300008476, 2.868421400009538, 3.0825870000116993]",49.184134499999345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-20_17h57.39.072,Memory and Syntax,2022.2.5,71.82839908010429,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.19589899999846,lu neimo,"[0.4368516999966232, 0.5301823999907356, 0.6245452000002842, 0.6382825999899069, 0.7505604000034509, 0.846190399985062, 1.1085549000126775, 1.0622569999832194, 1.4365536000113934, 1.2462829999858513, 1.5545589000103064, 1.4142761999828508, 1.8567168000154197]",50.19589899999846,50.19589899999846,50.19589899999846,"['l', 'u', 'space', 'n', 'e', 'm', 'backspace', 'o', 'backspace', 'i', 'm', 'o', 'return']","[0.4368516999966232, 0.9670340999873588, 1.1547275999910198, 1.2628277999901911, 1.3888429999933578, 1.5967507999885129, 1.9547452999977395, 2.170811899995897, 2.498810599994613, 2.6828365999972448, 2.8008418999961577, 2.968835099993157, 3.2709929999982705]",53.483828399999766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-20_17h57.39.072,Memory and Syntax,2022.2.5,71.82839908010429,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.499787599997944,lu pleck,"[0.7491023000038695, 0.2419378000049619, 1.1369574999989709, 0.7119598999997834, 1.2690572999999858, 0.8518375000130618, 1.3490654999914113, 0.9079348000086611, 1.5529573999956483, 1.0179823000071337, 1.8353586000012]",54.499787599997944,54.499787599997944,54.499787599997944,"['l', 'i', 'backspace', 'u', 'space', 'p', 'l', 'e', 'c', 'k', 'return']","[0.7491023000038695, 0.9910401000088314, 1.3788953000039328, 1.8489173999987543, 1.9810171999997692, 2.1208948000130476, 2.200903000004473, 2.2570003000000725, 2.4608922000043094, 2.570939700002782, 2.853340900008334]",57.37102409999352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-20_17h57.39.072,Memory and Syntax,2022.2.5,71.82839908010429,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3845994000003,lu neep,"[1.0661098999989918, 0.22001789999194443, 1.3261031000001822, 6.405965099998866, 1.396116100004292, 6.538508499987074, 1.5014662000030512, 6.7886515999998664]",58.3845994000003,58.3845994000003,58.3845994000003,"['l', 'u', 'space', 'n', 'e', 'e', 'p', 'return']","[1.0661098999989918, 1.2861277999909362, 1.5461209999921266, 7.732068199999048, 7.802081200003158, 7.934624599991366, 8.039974699990125, 8.290117800002918]",66.69691050000256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-20_17h57.39.072,Memory and Syntax,2022.2.5,71.82839908010429,
