word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vocabTest_resp,S2_vocabTest_resp.rts,end_vocabTest_trial,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,16.673042058944702,None,18.674554109573364,None,space,3.7653939723968506,18.674554109573364,None,23.70723009109497,None,23.70723009109497,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h53.21.749,memory and syntax,2022.1.1,60.05607118004347,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,24.44083309173584,None,24.44083309173584,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h53.21.749,memory and syntax,2022.1.1,60.05607118004347,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,25.11077117919922,None,25.11077117919922,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h53.21.749,memory and syntax,2022.1.1,60.05607118004347,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,26.194180011749268,None,26.194180011749268,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h53.21.749,memory and syntax,2022.1.1,60.05607118004347,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,27.22150707244873,None,27.22150707244873,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h53.21.749,memory and syntax,2022.1.1,60.05607118004347,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,28.525007009506226,None,28.525007009506226,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h53.21.749,memory and syntax,2022.1.1,60.05607118004347,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,2,,,,,,,,,,,,,,,,,29.651535987854004,None,29.651535987854004,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h53.21.749,memory and syntax,2022.1.1,60.05607118004347,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,1,,,,,,,,,,,,,,,,,31.08663296699524,None,31.08663296699524,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h53.21.749,memory and syntax,2022.1.1,60.05607118004347,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,5,,,,,,,,,,,,,,,,,31.748430013656616,None,31.748430013656616,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h53.21.749,memory and syntax,2022.1.1,60.05607118004347,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,4,,,,,,,,,,,,,,,,,32.71683406829834,None,32.71683406829834,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h53.21.749,memory and syntax,2022.1.1,60.05607118004347,
