word,img,sentence,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,S2_sentLearnTrials.thisRepN,S2_sentLearnTrials.thisTrialN,S2_sentLearnTrials.thisN,S2_sentLearnTrials.thisIndex,S2_sentPraxPhase.thisRepN,S2_sentPraxPhase.thisTrialN,S2_sentPraxPhase.thisN,S2_sentPraxPhase.thisIndex,s2_sentPrax_C,s2_sentPrax_P,s4_sentPrax_C,s4_sentPrax_P,s5_sentPrax_C,s5_sentPrax_P,s6_sentPrax_C,s6_sentPrax_P,S2_sentPraxC_block.thisRepN,S2_sentPraxC_block.thisTrialN,S2_sentPraxC_block.thisN,S2_sentPraxC_block.thisIndex,S2_sentPraxP_block.thisRepN,S2_sentPraxP_block.thisTrialN,S2_sentPraxP_block.thisN,S2_sentPraxP_block.thisIndex,S2_sentPraxP_trials.thisRepN,S2_sentPraxP_trials.thisTrialN,S2_sentPraxP_trials.thisN,S2_sentPraxP_trials.thisIndex,target,foils,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,answerbox.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_fb.started,S2_vtest_fb.stopped,S2_vtest_eval.started,S2_v_phase_end.started,S2_v_phase_end.keys,S2_v_phase_end.rt,sent_learn_instr_text.started,sent_learn_begin.started,sent_learn_img.started,sent_text.started,sent_prax_instr_text.started,sent_prax_begin.started,sentPrax_P_instr_text.started,sentPrax_P_begin.started,blankITI_2.started,participant,session,date,expName,psychopyVersion,frameRate,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.097936499980278,13.097936499980278,13.097936499980278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.297912999987602,13.297912999987602,13.297912999987602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.485482999996748,13.485482999996748,t,1.2609750000119675,14.756590000004508,14.756590000004508,15.905231199983973,lu pleck,"[1.1093344000109937, 0.22598869999637827, 1.3034107999992557, 0.8299419000104535, 1.3673485000035726, 0.9338847000035457, 1.557386200001929, 1.0219986000156496, 1.815311499987729]",15.905231199983973,15.905231199983973,15.905231199983973,"['l', 'u', 'space', 'p', 'l', 'e', 'c', 'k', 'return']","[1.1093344000109937, 1.335323100007372, 1.529399499995634, 2.1333527000097092, 2.197290400014026, 2.3012332000071183, 2.4912709000054747, 2.5793848000175785, 2.8373101000033785]",18.753190799994627,,,,,,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.764701999985846,lu nee,"[0.2279110999952536, 0.250085300009232, 0.39391109999269247, 0.5539353000058327, 0.5520936999819241, 0.7016060000169091, 0.888242699962575]",19.764701999985846,19.764701999985846,19.764701999985846,"['l', 'u', 'space', 'n', 'e', 'e', 'p', 'return']","[0.2279110999952536, 0.4779964000044856, 0.6439964000019245, 0.9478463999985252, 1.1060289999877568, 1.2536996999988332, 1.36165720000281, 1.589848699979484]",21.362690499983728,22.37033700000029,,,,,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.37033700000029,lu blom,"[0.44015830001444556, 0.23004379999474622, 0.5564914000278804, 0.4136399999842979, 0.6945855000230949, 0.621560400002636, 0.800691900018137, 0.9455101999919862]",22.37033700000029,22.37033700000029,22.37033700000029,"['l', 'u', 'space', 'b', 'l', 'o', 'm', 'return']","[0.44015830001444556, 0.6702021000091918, 0.7865352000226267, 0.9701314000121783, 1.1082255000073928, 1.316145900025731, 1.422252300020773, 1.746202100010123]",24.125928499997826,25.133439299999736,,,,,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.133439299999736,lu vode,"[0.525176700000884, 0.23197190000792034, 0.6833877000026405, 0.8137982000189368, 0.8072619999875315, 0.903769500029739, 0.9895022999844514, 1.1556800000253133]",25.133439299999736,25.133439299999736,25.133439299999736,"['l', 'u', 'space', 'v', 'o', 'd', 'e', 'return']","[0.525176700000884, 0.7571486000088044, 0.9153596000105608, 1.4971859000215773, 1.6210602000064682, 1.7110315000172704, 1.8932718000141904, 2.1451823000097647]",27.289732300007017,28.299081599980127,,,,,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.299081599980127,lu troise,"[0.5574155999929644, 0.23808650000137277, 0.7374138000013772, 0.9144436999922618, 0.9089574000099674, 1.0325323999859393, 1.070925600011833, 1.1045853999967221, 1.2048086000140756, 1.4027330999961123]",28.299081599980127,28.299081599980127,28.299081599980127,"['l', 'u', 'space', 't', 'r', 'o', 'i', 's', 'e', 'return']","[0.5574155999929644, 0.7955020999943372, 0.97550030000275, 1.651857499993639, 1.8234011000022292, 1.9414897999959067, 2.1034579999977723, 2.175511000008555, 2.3093940000107978, 2.607541700010188]",30.91382769998745,31.920925799990073,,,,,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.920925799990073,lu neimo,"[0.42760460000135936, 0.22794680000515655, 0.5456930999935139, 0.35394699999596924, 0.6796343000023626, 0.43999309997889213, 0.8335581000137608, 0.6621117999893613, 1.113656000001356]",31.920925799990073,31.920925799990073,31.920925799990073,"['l', 'u', 'space', 'n', 'e', 'i', 'm', 'o', 'return']","[0.42760460000135936, 0.6555514000065159, 0.7736398999986704, 0.8996400999894831, 1.0335812999983318, 1.1196273999812547, 1.273551199992653, 1.4956699000031222, 1.7757677999907173]",33.70760289998725,34.71563689998584,,,,,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.71563689998584,lu pleck,"[0.4547768000047654, 0.26812900000368245, 0.6226682999986224, 0.4485108999942895, 0.6903017000004184, 0.5644891000119969, 0.8644725999911316, 0.6584028000070248, 1.256502799980808]",34.71563689998584,34.71563689998584,34.71563689998584,"['l', 'u', 'space', 'p', 'l', 'e', 'c', 'k', 'return']","[0.4547768000047654, 0.7229058000084478, 0.8907973000023048, 1.071179199992912, 1.1388125999947079, 1.2547908000124153, 1.4289617000031285, 1.5228753999981564, 1.9149055999878328]",36.6409941999882,37.649636599991936,,,,,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.649636599991936,lu neep,"[0.41094619999057613, 0.23610330000519753, 0.5667644999921322, 1.0622615000174847, 0.7425504999700934, 1.1902581000176724, 0.8605924999865238, 1.4464019000006374]",37.649636599991936,37.649636599991936,37.649636599991936,"['l', 'u', 'space', 'n', 'e', 'e', 'p', 'return']","[0.41094619999057613, 0.6470494999957737, 0.8028677999973297, 1.6290260000096168, 1.804811999987578, 1.9328085999877658, 2.050850600004196, 2.306994399987161]",39.96816950000357,40.97559170000022,,,,,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.97559170000022,lu blom,"[0.8688927000039257, 0.21007560001453385, 1.0568229999917094, 0.39617840002756566, 1.1851100999920163, 0.5677498000150081, 1.2810614999907557, 0.9378162000211887]",40.97559170000022,40.97559170000022,40.97559170000022,"['l', 'u', 'space', 'b', 'l', 'o', 'm', 'return']","[0.8688927000039257, 1.0789683000184596, 1.2668986000062432, 1.453001400019275, 1.581288500019582, 1.7528599000070244, 1.8488113000057638, 2.2188777000119444]",43.20457649999298,44.213956199993845,,,,,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,3,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.213956199993845,lu vode,"[0.5945161999843549, 0.23602760001085699, 0.7264280999661423, 0.3881081000145059, 0.8604583999840543, 0.48408910000580363, 1.0364734999893699, 0.7041399000154343]",44.213956199993845,44.213956199993845,44.213956199993845,"['l', 'u', 'space', 'v', 'o', 'd', 'e', 'return']","[0.5945161999843549, 0.8305437999952119, 0.9624556999769993, 1.1145361999806482, 1.2485664999985602, 1.344547499989858, 1.5205625999951735, 1.7406134000048041]",45.96184279999579,46.97212489999947,,,,,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,4,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.97212489999947,lu troise,"[0.34638170001562685, 0.26006659999256954, 0.4903467000112869, 0.45403470000019297, 0.6603143000102136, 0.654043599992292, 0.8503802000195719, 0.737896999984514, 0.9824424000107683, 1.035976799990749]",46.97212489999947,46.97212489999947,46.97212489999947,"['l', 'u', 'space', 't', 'r', 'o', 'i', 's', 'e', 'return']","[0.34638170001562685, 0.6064483000081964, 0.7504133000038564, 0.9443814000114799, 1.1143490000104066, 1.3143579000025056, 1.504423800011864, 1.588277200004086, 1.7203393999952823, 2.0184192000015173]",48.998206599993864,50.00430480000796,,,,,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,5,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00430480000796,lu neimo,"[0.3343934000004083, 0.43777489999774843, 0.4363848000066355, 0.9037997999985237, 0.9025705000094604, 1.4296306999749504, 1.0845907000184525, 1.839610199967865, 1.210551900032442, 1.967589899955783, 1.362613900040742, 2.1895278999581933, 1.6628126000287011]",50.00430480000796,50.00430480000796,50.00430480000796,"['l', 'u', 'space', 'n', 'backspace', 'backspace', 'backspace', 'u', 'space', 'n', 'e', 'i', 'm', 'o', 'return']","[0.3343934000004083, 0.5943057999829762, 0.7721682999981567, 0.8741597000043839, 1.218278599990299, 1.3401846000051592, 1.806370300007984, 2.3322011999844108, 2.514221399993403, 2.9242008999863174, 3.050162100000307, 3.178141799988225, 3.330203799996525, 3.5521417999989353, 3.8523404999868944]",53.86482809999143,54.867561499995645,,,,,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.867561499995645,54.867561499995645,g,1.3409153000102378,,,,,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence31.png,lu pleck nim li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.21630070000538,56.21630070000538,56.753999499982456,56.753999499982456,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence65.png,yab lu neimo lu vode,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.35354209999787,63.35354209999787,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence63.png,yab lu neimo lu neep,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.95735889999196,69.95735889999196,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence68.png,lu neep praz li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.55483879998792,76.55483879998792,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence39.png,yab lu pleck lu vode,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.15649799999665,83.15649799999665,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence14.png,klin lu blom lu troise,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7672678999952,89.7672678999952,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence105.png,lu blom zayma li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.35110279999208,96.35110279999208,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence103.png,lu pleck zayma li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9506587999931,102.9506587999931,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence17.png,klin lu vode lu neep,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.59129459998803,109.59129459998803,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence12.png,klin lu blom lu neep,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.18520109998644,116.18520109998644,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence29.png,klin lu neimo lu vode,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.77062219998334,122.77062219998334,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence70.png,lu vode praz li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.35647850000532,129.35647850000532,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence107.png,lu troise zayma li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.95324420000543,135.95324420000543,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence32.png,lu neep nim li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.5529266000085,142.5529266000085,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence26.png,klin lu neimo lu pleck,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.16751090000616,149.16751090000616,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence35.png,lu troise nim li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.75085809998563,155.75085809998563,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
,brocanto/stims/to_use/sentence79.png,noyka lu neep lu blom,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.36152040000889,162.36152040000889,,,,,,1,2,2023-02-22_13h14.20.392,Memory and Syntax,2022.2.5,164.80573530474777,
