sentence,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_sentLearnTrials.thisRepN,S2_sentLearnTrials.thisTrialN,S2_sentLearnTrials.thisN,S2_sentLearnTrials.thisIndex,S2_sentPraxPhase.thisRepN,S2_sentPraxPhase.thisTrialN,S2_sentPraxPhase.thisN,S2_sentPraxPhase.thisIndex,s2_sentPrax_C,s2_sentPrax_P,s4_sentPrax_C,s4_sentPrax_P,s5_sentPrax_C,s5_sentPrax_P,s6_sentPrax_C,s6_sentPrax_P,S2_sentPraxC_block.thisRepN,S2_sentPraxC_block.thisTrialN,S2_sentPraxC_block.thisN,S2_sentPraxC_block.thisIndex,S2_sentPraxP_block.thisRepN,S2_sentPraxP_block.thisTrialN,S2_sentPraxP_block.thisN,S2_sentPraxP_block.thisIndex,S2_sentPraxP_trials.thisRepN,S2_sentPraxP_trials.thisTrialN,S2_sentPraxP_trials.thisN,S2_sentPraxP_trials.thisIndex,target,foils,too_fast_punish3.thisRepN,too_fast_punish3.thisTrialN,too_fast_punish3.thisN,too_fast_punish3.thisIndex,brocanto_story.started,start_brocanto.started,sent_learn_instr_text.started,sent_learn_begin.started,sent_learn_img.started,sent_text.started,sent_prax_instr_text.started,sent_prax_begin.started,sentPrax_P_instr_text.started,sentPrax_P_begin.started,blankITI_2.started,sent_Prax_P_img.started,blankITI_2.stopped,sent_Prax_P_img.stopped,S2_sentPrax_P_key_resp.started,S2_sentPraxP_resp,S2_sentPraxP_rts,sent_Prax_P_img_3.started,sent_Prax_P_text.started,S2_sentPrax_P_key_resp.keys,S2_sentPrax_P_key_resp.rt,sentPrax_P_fb.started,sentPrax_score_update_2.started,tooFast_score.started,participant,session,date,expName,psychopyVersion,frameRate,
lu troise zayma li,brocanto/stims/to_use/sentence107.png,,,,,0,0,0,0,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.07204669999192,96.07204669999192,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu neep nim li,brocanto/stims/to_use/sentence32.png,,,,,0,0,0,0,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.67332159998477,102.67332159998477,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
klin lu neimo lu pleck,brocanto/stims/to_use/sentence26.png,,,,,0,0,0,0,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.28562599999714,109.28562599999714,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu troise nim li,brocanto/stims/to_use/sentence35.png,,,,,0,0,0,0,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.87195749999955,115.87195749999955,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
noyka lu neep lu blom,brocanto/stims/to_use/sentence79.png,,,,,0,0,0,0,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.48118859998067,122.48118859998067,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu troise praz li,brocanto/stims/to_use/sentence71.png,,,,,0,0,0,0,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.07574050000403,129.07574050000403,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
noyka lu pleck lu vode,brocanto/stims/to_use/sentence75.png,,,,,0,0,0,0,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.68183990000398,135.68183990000398,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu neimo praz li,brocanto/stims/to_use/sentence72.png,,,,,0,0,0,0,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.2721748999902,142.2721748999902,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu neimo nim li,brocanto/stims/to_use/sentence36.png,,,,,0,0,0,0,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.8720962999796,148.8720962999796,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
yab lu vode lu neep,brocanto/stims/to_use/sentence53.png,,,,,0,0,0,0,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.47714869998163,155.47714869998163,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu blom praz li,brocanto/stims/to_use/sentence69.png,,,,,0,0,0,0,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.07580379999126,162.07580379999126,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu neep zayma li,brocanto/stims/to_use/sentence104.png,,,,,0,0,0,0,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.67162759997882,168.67162759997882,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
noyka lu vode lu neep,brocanto/stims/to_use/sentence89.png,,,,,0,0,0,0,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.28100429999176,175.28100429999176,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
noyka lu neimo lu troise,brocanto/stims/to_use/sentence102.png,,,,,0,0,0,0,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.8818662999838,181.8818662999838,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
yab lu neep lu vode,brocanto/stims/to_use/sentence44.png,,,,,0,0,0,0,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.48145150000346,188.48145150000346,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu vode nim li,brocanto/stims/to_use/sentence34.png,,,,,0,0,0,0,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.07025499999872,195.07025499999872,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.6605583000055,201.6605583000055,207.04771970000002,207.04771970000002,207.95172489999095,208.4363192000019,208.4363192000019,208.54247179999948,208.54247179999948,in,"[34.4019716999901, 1.3698466999921948, 59.08002660001512]",208.54247179999948,208.54247179999948,"['l', 'u', 'v', 'j', 'i', 'd', 'f', 'j', 'i', 'o', 'n', 's', 'd', 'f', 'j', 'space', 'v', 'j', 'k', 'space', 'e', 'r', 'f', 'f', 'n', 'k', 'space', 'f', 'f', 'v', 's', 'j', 'space', 's', 'f', 'f', 'v', 'k', 'm', 'e', 's', 'v', 'k', 'l', 'm', 'm', 'e', 'f', 'v', 'k', 'm', 'e', 'f', 'f', 'v', 'k', 'n', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'm', 'd', 'o', 'f', 'j', 'v', 'j', 'n', 'd', 'f', 'i', 'b', 'f', 'n', 'j', 'b', 'h', 'i', 'd', 'f', 'b', 'i', 'u', 'j', 'j', 'n', 'o', 'f', 'd', 's', 'k', 'b', 'h', 'i', 's', 'b', 'g', 'j', 'n', 'f', 'b', 'i', 'h', 'f', 'j', 'n', 'i', 'd', 'f', 'j', 'n', 'i', 'o', 'n', 'd', 'f', 'u', 'j', 'i', 'n', 'u', 'j', 'n', 'v', 'f', 'j', 'd', 'f', 'j', 'i', 'n', 'n', 'space', 'd', 'f', 'j', 'o', 'n', 'v', 'd', 's', 'f', 'v', 'return', 'd', 's', 'f', 'v', 'i', 'h', 'u', 'b', 'd', 's', 'f', 'v', 'o', 'i', 'n', 'i', 's', 'e', 'f', 'v', 'u', 'i', 'i', 'r', 'e', 'g', '7', '8', '9', 'h', 'w', '4', 't', 'g', 't', 'h', 'b', 'space', 'i', 'd', 'g', 'f', 'd', 'f', 'v', 'space', 'n', 'o', 'u', 'i', 'a', 'f', 'e', 'f', 'v', 'd', 'h', 'space', 'j', 'a', 'w', 'e', 'v', 'j', 'i', 'o', 'h', 'n', 'space', 'j', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'escape', 'return', 'escape', 'return', 'escape', 'return', 'escape', 'return', 'return', 'escape', 'return', 'escape', 'return', 'escape', 'return', 'escape']","[1.2058591000095475, 2.1437767999887, 2.3737978999852203, 2.581815399986226, 2.5918545000022277, 2.7697141999960877, 2.8819144000008237, 3.0778453999955673, 3.079801799991401, 3.079801799991401, 3.08368129999144, 3.283704500005115, 3.349838699999964, 3.375805899995612, 3.569903499999782, 3.571709899988491, 3.867865999985952, 4.029721200000495, 4.031711899995571, 4.037760999985039, 4.223736199986888, 4.257824700005585, 4.259747100004461, 4.31200199999148, 4.507752699981211, 4.517821999994339, 4.519692300003953, 4.7578135000076145, 4.857791299989913, 4.859708999982104, 4.875774299987825, 5.009872299997369, 5.027811699983431, 5.373904100008076, 5.451837800006615, 5.605830699991202, 5.607705600006739, 5.841736700007459, 5.847680300008506, 6.017861300002551, 6.039806399989175, 6.243889699981082, 6.807953899988206, 6.813806299993303, 6.821755999990273, 6.89191390000633, 7.081951800006209, 7.0897717000043485, 7.184009099990362, 7.289831700007198, 7.297813599987421, 7.5459113999968395, 7.547734599997057, 7.607854500005487, 7.615850500005763, 7.741910199983977, 7.751830699999118, 8.113936100009596, 8.709906000003684, 8.96603939999477, 9.165982999984408, 9.35987230000319, 9.545910599990748, 9.751910099992529, 9.951906600006623, 10.151889900007518, 10.331817900005262, 10.509895600000164, 10.701874999998836, 10.885963200009428, 11.073903099983, 11.281933699996443, 11.473963900003582, 11.659929999994347, 11.840089799981797, 12.023825199983548, 12.209923799993703, 12.411892999982229, 12.623893999989377, 12.815840900002513, 15.200023499986855, 15.393873599998187, 15.61785769998096, 15.80584699998144, 16.00181699998211, 16.190059799992014, 16.388085399987176, 16.57191299999249, 16.747887999983504, 16.937838599988027, 17.109894799999893, 17.29399099998409, 17.46398689999478, 17.647902700002305, 17.828106800006935, 18.00385209999513, 18.18190679998952, 18.489834899985, 18.764053799997782, 18.93185480000102, 19.10998340000515, 19.320604399981676, 19.537790300004417, 19.78398740000557, 19.983880999992834, 20.17987140000332, 20.38578549999511, 20.57789590000175, 20.751906699995743, 20.967940100003034, 21.143850299995393, 21.340016800008016, 21.539975499996217, 21.743841099989368, 21.973750899982406, 22.179889699997148, 22.395873100002063, 22.59182349999901, 22.785849899984896, 22.985940199985635, 23.17983959999401, 23.357963999995263, 23.547904000006383, 23.71788129999186, 23.88988820000668, 24.070050499984063, 24.249930699996185, 24.420096399990143, 24.605848799983505, 24.78584939998109, 24.95579429998179, 25.109969799988903, 25.275932299991837, 25.453891199984355, 25.639972500008298, 25.80985520000104, 25.987874199985527, 26.16623060000711, 26.349786300008418, 26.555882699991344, 26.75585349998437, 26.9560499000072, 27.15407520000008, 27.372042100003455, 27.605832400004147, 27.799895999982255, 27.985814399988158, 28.176051999995252, 28.38591730000917, 28.581936200003838, 28.78582339998684, 29.029829699982656, 29.255878500000108, 29.463838499999838, 29.731781199981924, 29.95187600000645, 30.139887600002112, 30.333946800004924, 30.51784260000568, 30.70782589999726, 30.917901699984213, 31.109849500004202, 31.29788880000706, 31.963847100007115, 32.0460374999966, 32.055904200009536, 32.07390059999307, 32.07571770000504, 32.18182159998105, 32.25192389998119, 32.26175949999015, 32.40981019998435, 32.455862700007856, 32.57184749998851, 32.693837800004985, 32.70779329998186, 32.75995479998528, 32.78988939998089, 33.013885799999116, 33.01596570000402, 33.1278791000077, 33.16988080000738, 33.183909299987135, 33.30387340000016, 33.42194609998842, 33.507935100002214, 33.525843399984296, 33.567862299998524, 33.61578729999019, 33.61778030000278, 33.64177990000462, 33.64978069998324, 33.659785900003044, 33.661693900008686, 33.8637172000017, 33.865640100004384, 33.939867000008235, 33.995841399999335, 34.011929100001, 34.061954000004334, 34.063877799984766, 34.063877799984766, 34.079747399984626, 34.3098451999831, 34.4019716999901, 34.447848799987696, 34.58791309999651, 34.92426820000401, 34.93172619998222, 34.93375480000395, 35.05576160000055, 35.08983099999023, 35.1419607999851, 35.161862100008875, 35.177933400002075, 35.40992489998462, 35.41584529998363, 35.59590939999907, 35.6199048999988, 35.76185290000285, 35.763796899991576, 35.763796899991576, 35.771818399982294, 35.777696100005414, 36.26796719999402, 36.27595239999937, 36.44988219998777, 36.489859599998454, 36.595992599992314, 36.77976249999483, 36.85594770000898, 36.95983449998312, 36.96169820000068, 36.979775399988284, 37.08568089999608, 37.155886399996234, 37.513848600006895, 37.523792899999535, 37.545893200003775, 37.54768600000534, 37.55982850000146, 37.591765499993926, 37.76779849999002, 37.77982809999958, 37.80579739998211, 37.85588369998732, 37.97188090000418, 38.1279072999896, 38.1478758000012, 38.16780920000747, 38.23597929999232, 38.289673599996604, 38.299653499998385, 38.30164990000776, 38.34799599999678, 38.43593929999042, 38.47777440000209, 38.48382940000738, 38.51972389998264, 38.633753500005696, 38.649869899993064, 38.659711299987976, 38.66569160000654, 38.785806600004435, 38.80983610000112, 38.829844299994875, 38.90989819998504, 38.93385090000811, 38.935683699994115, 38.995801499986555, 39.204010499990545, 39.23989019999863, 39.283884600008605, 39.379839800007176, 39.38176899999962, 39.38176899999962, 39.49781629999052, 39.52583140000934, 39.52583140000934, 39.53967820000253, 39.64186350000091, 39.64381000000867, 39.64771419999306, 39.67986569998902, 39.681807199987816, 39.73164869999164, 39.8718556999811, 39.891811499983305, 39.893726699985564, 39.90186749998247, 39.94384110000101, 39.98404199999641, 40.027757000003476, 40.09764249998261, 40.10179809998954, 40.16780029999791, 40.16968520000228, 40.307761600008234, 40.317785999999614, 40.34374330000719, 40.34559330000775, 40.351805299986154, 40.38785070000449, 40.4558662000054, 40.46177349999198, 40.477855799981626, 40.64583819999825, 40.67775850000908, 40.70382890000474, 40.77196169999661, 40.81583209999371, 40.81767160000163, 40.82582279999042, 41.11218550000922, 41.11370339998393, 41.115681600000244, 41.119705799996154, 41.297824399982346, 41.48810210000374, 41.67194810000365, 41.84786819998408, 42.025978099991335, 42.189996700006304, 42.363894099980826, 42.543842999992194, 42.71595489999163, 42.89789540000493, 43.0838637999841, 43.26791890000459, 43.44596109999111, 43.61187009999412, 43.784120299998904, 43.96180789999198, 44.13593950000359, 44.31587620000937, 44.49196739998297, 44.66982209999696, 44.83981079998193, 45.029837099980796, 45.209804599988274, 45.40600099999574, 45.581878099997994, 45.77190839999821, 45.95396139999502, 46.135773399990285, 46.3138626999862, 46.49185329998727, 46.669928199989954, 46.85387970000738, 47.03588640000089, 47.22017600000254, 47.399864899984095, 47.58793809998315, 47.75996440000017, 47.94784280000022, 48.13187330000801, 48.32180179998977, 48.507827099994756, 48.689837499987334, 48.87384519999614, 49.059845399984624, 49.25983940000879, 49.439802399982, 49.621822199987946, 49.799896099983016, 49.985818599991035, 50.16599929999211, 50.34183859999757, 50.517846700007794, 50.685899300005985, 50.867952800006606, 51.03375499998219, 51.22008790000109, 51.39004510000814, 51.57588039999246, 51.76386189999175, 51.93987129998277, 52.131822499999544, 52.315826100006234, 52.511846799985506, 52.695854099991266, 52.88587989998632, 53.0658517999982, 53.24185249998118, 53.421845799981384, 53.60187720000977, 53.82989409999573, 54.017964700004086, 54.19019729999127, 54.36602409998886, 54.54988069998217, 54.72794320000685, 54.90385509998305, 55.08198600000469, 55.25994139999966, 55.44580889999634, 55.62385400000494, 55.797817599988775, 55.97786270000506, 56.14793420000933, 56.33393319998868, 56.519844499998726, 56.70787260000361, 56.89585279999301, 57.06978269998217, 57.24781589998747, 57.4358601999993, 57.61784930000431, 57.791858199983835, 57.963882799987914, 58.14982009999221, 58.32589179999195, 58.50386100000469, 58.68381170000066, 58.85181709998869, 58.99594180000713, 59.15785799999139, 59.20813220000127, 59.36636039998848, 59.40010929998243, 59.56592829999863, 59.56772659998387, 59.72398969999631, 59.7720352000033, 59.89810389999184, 59.97365400000126, 60.07988750000368, 60.173804199992446, 60.26591119999648, 60.35785400000168]",269.01769419998163,269.01769419998163,269.01769419998163,,,,,,,
