ajt_sess,testSent,condition,word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,eng_ajt_sent.started,eng_ajt_sent.stopped,acceptability.response,acceptability.rt,acceptability.started,acceptability.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,come on brain,filler,,,,,,,0,0,0,0,0,0,0,15,,,,,,,,,,,,,,,,,15.97351884841919,None,17.98147487640381,None,space,0.8881618976593018,17.98147487640381,None,18.968292951583862,None,1.2,2.0589399337768555,18.968292951583862,None,,,,,,,,,,,,,1,2,2022-10-11_13h16.39.284,memory and syntax,2022.1.1,59.95451563149942,
2,unite,filler,,,,,,,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,21.01412296295166,None,1.6,0.6721451282501221,21.01412296295166,None,,,,,,,,,,,,,1,2,2022-10-11_13h16.39.284,memory and syntax,2022.1.1,59.95451563149942,
2,The dog cried himself,ASV,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,21.711736917495728,None,1.6,0.21044206619262695,21.711736917495728,None,,,,,,,,,,,,,1,2,2022-10-11_13h16.39.284,memory and syntax,2022.1.1,59.95451563149942,
2,The dog the cat chased,filler,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,21.947109937667847,None,1.6,0.40756893157958984,21.947109937667847,None,,,,,,,,,,,,,1,2,2022-10-11_13h16.39.284,memory and syntax,2022.1.1,59.95451563149942,
2,Yup my mind is blank rn,filler,,,,,,,0,0,0,0,0,4,4,25,,,,,,,,,,,,,,,,,,,,,,,,,22.381248950958252,None,1.6,0.3556380271911621,22.381248950958252,None,,,,,,,,,,,,,1,2,2022-10-11_13h16.39.284,memory and syntax,2022.1.1,59.95451563149942,
2,The cat bit the dog,filler,,,,,,,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,22.761618852615356,None,1.6,0.3443589210510254,22.761618852615356,None,,,,,,,,,,,,,1,2,2022-10-11_13h16.39.284,memory and syntax,2022.1.1,59.95451563149942,
2,The dog cried himself,ASV,,,,,,,0,0,0,0,0,6,6,22,,,,,,,,,,,,,,,,,,,,,,,,,23.130908012390137,None,1.6,0.29510498046875,23.130908012390137,None,,,,,,,,,,,,,1,2,2022-10-11_13h16.39.284,memory and syntax,2022.1.1,59.95451563149942,
2,The dog the cat chased,filler,,,,,,,0,0,0,0,0,7,7,21,,,,,,,,,,,,,,,,,,,,,,,,,23.45075798034668,None,1.6,0.31067490577697754,23.45075798034668,None,,,,,,,,,,,,,1,2,2022-10-11_13h16.39.284,memory and syntax,2022.1.1,59.95451563149942,
2,Chased the dog the cat,WOV,,,,,,,0,0,0,0,0,8,8,20,,,,,,,,,,,,,,,,,,,,,,,,,23.78661584854126,None,1.6,0.25087690353393555,23.78661584854126,None,,,,,,,,,,,,,1,2,2022-10-11_13h16.39.284,memory and syntax,2022.1.1,59.95451563149942,
2,women hold up half the sky,filler,,,,,,,0,0,0,0,0,9,9,29,,,,,,,,,,,,,,,,,,,,,,,,,24.0617938041687,None,1.6,0.292125940322876,24.0617938041687,None,,,,,,,,,,,,,1,2,2022-10-11_13h16.39.284,memory and syntax,2022.1.1,59.95451563149942,
