word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vtest_key_resp.keys,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,26.099558115005493,None,28.117464065551758,None,space,7.197597026824951,28.117464065551758,None,38.122881174087524,None,38.122881174087524,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,53.25877404212952,None,53.25877404212952,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,54.72737002372742,None,54.72737002372742,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,55.380128145217896,None,55.380128145217896,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,56.3445360660553,None,56.3445360660553,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,56.65178894996643,None,56.65178894996643,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,2,,,,,,,,,,,,,,,,,57.49179410934448,None,57.49179410934448,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,1,,,,,,,,,,,,,,,,,59.138999938964844,None,59.138999938964844,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,5,,,,,,,,,,,,,,,,,59.60009217262268,None,59.60009217262268,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,0,,,,,,,,,,,,,,,,,60.38653206825256,None,60.38653206825256,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,3,,,,,,,,,,,,,,,,,61.9872350692749,None,61.9872350692749,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,4,,,,,,,,,,,,,,,,,64.41817116737366,None,64.41817116737366,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,64.92451095581055,None,t,5.6053149700164795,64.92451095581055,None,70.55705213546753,None,None,72.34093403816223,None,72.34093403816223,None,72.34093403816223,None,78.09884905815125,None,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,None,79.59273195266724,None,79.59273195266724,None,79.59273195266724,None,81.73989200592041,None,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,None,82.7511510848999,None,82.7511510848999,None,82.7511510848999,None,85.04374694824219,None,1,2,2022-10-15_19h35.40.681,memory and syntax,2022.1.1,60.01937538010232,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,86.97361545562744,None,86.97361545562744,None,86.97361545562744,None,86.99837398529053,None,,,,,,,
