word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vtest_key_resp.keys,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,132.5358271598816,None,134.54546809196472,None,space,1.194223165512085,134.54546809196472,None,136.53450202941895,None,136.53450202941895,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,137.60711312294006,None,137.60711312294006,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,138.41331720352173,None,138.41331720352173,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,138.7172360420227,None,138.7172360420227,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,140.22022008895874,None,140.22022008895874,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,140.6336681842804,None,140.6336681842804,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,2,,,,,,,,,,,,,,,,,141.18937921524048,None,141.18937921524048,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,3,,,,,,,,,,,,,,,,,142.99162912368774,None,142.99162912368774,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,1,,,,,,,,,,,,,,,,,143.57983803749084,None,143.57983803749084,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,0,,,,,,,,,,,,,,,,,144.06133699417114,None,144.06133699417114,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,5,,,,,,,,,,,,,,,,,146.8645830154419,None,146.8645830154419,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,4,,,,,,,,,,,,,,,,,148.15497303009033,None,148.15497303009033,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,148.8228940963745,None,t,1.327712059020996,148.8228940963745,None,150.17242312431335,None,None,150.90462398529053,None,150.90462398529053,None,150.90462398529053,None,154.89326214790344,None,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,None,156.3791561126709,None,156.3791561126709,None,156.3791561126709,None,158.42185401916504,None,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,None,159.4317820072174,None,159.4317820072174,None,159.4317820072174,None,161.8215720653534,None,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,None,163.7815170288086,None,163.7815170288086,None,163.7815170288086,None,170.89735102653503,None,1,2,2022-10-15_19h19.55.570,memory and syntax,2022.1.1,59.93738040901367,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,172.43880796432495,None,172.43880796432495,None,172.43880796432495,None,172.45705318450928,None,,,,,,,
