word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,answerbox.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,participant,session,date,expName,psychopyVersion,frameRate,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,17.357285899997805,17.357285899997805,23.380015300004743,23.961382399997092,23.961382399997092,23.961382399997092,,,,,,,,,,,,,1,2,2023-02-20_17h25.10.821,Memory and Syntax,2022.2.5,70.28878851740524,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,4,,,,,,,,24.508690400005435,24.508690400005435,24.508690400005435,,,,,,,,,,,,,1,2,2023-02-20_17h25.10.821,Memory and Syntax,2022.2.5,70.28878851740524,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,,,,24.69383370000287,24.69383370000287,24.69383370000287,,,,,,,,,,,,,1,2,2023-02-20_17h25.10.821,Memory and Syntax,2022.2.5,70.28878851740524,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,24.862615299993195,24.862615299993195,24.862615299993195,,,,,,,,,,,,,1,2,2023-02-20_17h25.10.821,Memory and Syntax,2022.2.5,70.28878851740524,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,2,,,,,,,,25.034075399991707,25.034075399991707,25.034075399991707,,,,,,,,,,,,,1,2,2023-02-20_17h25.10.821,Memory and Syntax,2022.2.5,70.28878851740524,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,25.218592699995497,25.218592699995497,25.218592699995497,,,,,,,,,,,,,1,2,2023-02-20_17h25.10.821,Memory and Syntax,2022.2.5,70.28878851740524,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,3,,,,,,,,25.39261519999127,25.39261519999127,25.39261519999127,,,,,,,,,,,,,1,2,2023-02-20_17h25.10.821,Memory and Syntax,2022.2.5,70.28878851740524,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,2,,,,,,,,25.56097609999415,25.56097609999415,25.56097609999415,,,,,,,,,,,,,1,2,2023-02-20_17h25.10.821,Memory and Syntax,2022.2.5,70.28878851740524,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,4,,,,,,,,25.76009699999122,25.76009699999122,25.76009699999122,,,,,,,,,,,,,1,2,2023-02-20_17h25.10.821,Memory and Syntax,2022.2.5,70.28878851740524,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,5,,,,,,,,25.930889199997182,25.930889199997182,25.930889199997182,,,,,,,,,,,,,1,2,2023-02-20_17h25.10.821,Memory and Syntax,2022.2.5,70.28878851740524,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,0,,,,,,,,26.10156850000203,26.10156850000203,26.10156850000203,,,,,,,,,,,,,1,2,2023-02-20_17h25.10.821,Memory and Syntax,2022.2.5,70.28878851740524,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,1,,,,,,,,26.28671079999185,26.28671079999185,26.28671079999185,,,,,,,,,,,,,1,2,2023-02-20_17h25.10.821,Memory and Syntax,2022.2.5,70.28878851740524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.49804679999943,26.49804679999943,t,89.46266699999978,115.98328699999547,115.98328699999547,117.29281329999503,Type response now,"[4.781737600002089, 0.23439589999907184, 5.367421200004173, 0.39063190000888426]",117.29281329999503,117.29281329999503,117.29281329999503,,,,,,,
