sentence,img,s2_sentPrax_C,s2_sentPrax_P,s4_sentPrax_C,s4_sentPrax_P,s5_sentPrax_C,s5_sentPrax_P,s6_sentPrax_C,s6_sentPrax_P,target,foils,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_sentLearnTrials.thisRepN,S2_sentLearnTrials.thisTrialN,S2_sentLearnTrials.thisN,S2_sentLearnTrials.thisIndex,S2_sentPraxPhase.thisRepN,S2_sentPraxPhase.thisTrialN,S2_sentPraxPhase.thisN,S2_sentPraxPhase.thisIndex,S2_sentPraxC_block.thisRepN,S2_sentPraxC_block.thisTrialN,S2_sentPraxC_block.thisN,S2_sentPraxC_block.thisIndex,S2_sentPraxP_block.thisRepN,S2_sentPraxP_block.thisTrialN,S2_sentPraxP_block.thisN,S2_sentPraxP_block.thisIndex,S2_sentPraxP_trials.thisRepN,S2_sentPraxP_trials.thisTrialN,S2_sentPraxP_trials.thisN,S2_sentPraxP_trials.thisIndex,too_fast_punish3.thisRepN,too_fast_punish3.thisTrialN,too_fast_punish3.thisN,too_fast_punish3.thisIndex,brocanto_story.started,start_brocanto.started,sent_learn_instr_text.started,sent_learn_begin.started,sent_learn_img.started,sent_text.started,sent_prax_instr_text.started,sent_prax_begin.started,sentPrax_P_instr_text.started,sentPrax_P_begin.started,blankITI_2.started,sent_Prax_P_img.started,blankITI_2.stopped,sent_Prax_P_img.stopped,S2_sentPraxP_resp,S2_sentPraxP_rts,S2_sentPrax_P_key_resp.started,sent_Prax_P_img_3.started,sent_Prax_P_text.started,S2_sentPrax_P_key_resp.keys,S2_sentPrax_P_key_resp.rt,sentPrax_P_fb.started,sentPrax_score_update_2.started,tooFast_score.started,participant,session,date,expName,psychopyVersion,frameRate,
lu pleck nim li,brocanto/stims/to_use/sentence31.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,8.834205699997256,8.834205699997256,22.796006599994143,22.796006599994143,23.16011230001459,23.16011230001459,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h11.05.156,Memory and Syntax,2022.2.5,157.73019931684797,
yab lu neimo lu vode,brocanto/stims/to_use/sentence65.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,29.758870699995896,29.758870699995896,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h11.05.156,Memory and Syntax,2022.2.5,157.73019931684797,
yab lu neimo lu neep,brocanto/stims/to_use/sentence63.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,36.359616200003074,36.359616200003074,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h11.05.156,Memory and Syntax,2022.2.5,157.73019931684797,
lu neep praz li,brocanto/stims/to_use/sentence68.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,42.95835060000536,42.95835060000536,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h11.05.156,Memory and Syntax,2022.2.5,157.73019931684797,
yab lu pleck lu vode,brocanto/stims/to_use/sentence39.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,49.55788659999962,49.55788659999962,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h11.05.156,Memory and Syntax,2022.2.5,157.73019931684797,
klin lu blom lu troise,brocanto/stims/to_use/sentence14.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,56.16977010000846,56.16977010000846,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h11.05.156,Memory and Syntax,2022.2.5,157.73019931684797,
lu blom zayma li,brocanto/stims/to_use/sentence105.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,62.754435700015165,62.754435700015165,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h11.05.156,Memory and Syntax,2022.2.5,157.73019931684797,
lu pleck zayma li,brocanto/stims/to_use/sentence103.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,69.35477239999454,69.35477239999454,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h11.05.156,Memory and Syntax,2022.2.5,157.73019931684797,
klin lu vode lu neep,brocanto/stims/to_use/sentence17.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,75.99656200001482,75.99656200001482,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h11.05.156,Memory and Syntax,2022.2.5,157.73019931684797,
klin lu blom lu neep,brocanto/stims/to_use/sentence12.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,82.5875623000029,82.5875623000029,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h11.05.156,Memory and Syntax,2022.2.5,157.73019931684797,
