load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp.rt,cvmt_key_resp.duration,key_resp_15.rt,key_resp_15.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
0.0003,0.5025,116652,115,1,2024-03-07_13h30.53.784,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,116652,115,1,2024-03-07_13h30.53.784,Memory and Syntax,2023.2.3,Win32,59.88023952,0.5538,18.6841,18.694,34.1588,34.2455,36.1624,,0,36.163,43.2029,n,1,7.0058,,43.2045,43.2302,,43.2314,43.2347,,0,0,0,0,1,cvmt/sample/s1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,116652,115,1,2024-03-07_13h30.53.784,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,43.2382,45.2302,o,0,45.2315,45.2341,,0,,,45.2356,49.532,c,49.5332,49.5361,,0,1,1,1,1,cvmt/sample/s2.jpg,n,0.8823,,4.2634,,,,,,,,,,,,,,,,,,,,,,,,,
,,116652,115,1,2024-03-07_13h30.53.784,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,49.5672,51.5455,,0,51.5468,51.8629,o,1,0.2985,,51.8641,51.8697,,51.8709,51.8731,,0,2,2,2,1,cvmt/sample/s3.jpg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,116652,115,1,2024-03-07_13h30.53.784,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,51.8768,53.8788,n,1,53.8799,53.8821,,0,,,53.8833,53.8869,,53.8881,53.8904,,0,3,3,3,1,cvmt/sample/s4.jpg,n,1.5626,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,116652,115,1,2024-03-07_13h30.53.784,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,53.8937,55.8886,n,1,55.8896,55.892,,0,,,55.8933,55.8961,,55.8974,55.8995,,0,4,4,4,1,cvmt/sample/s5.jpg,n,0.879,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,116652,115,1,2024-03-07_13h30.53.784,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,55.9033,57.8955,n,1,57.8968,57.8994,,0,,,57.9006,57.9039,,57.905,57.9073,,0,5,5,5,1,cvmt/sample/s6.jpg,n,0.718,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,116652,115,1,2024-03-07_13h30.53.784,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,57.9109,59.9147,o,1,59.9159,59.919,,0,,,59.9202,59.923,,59.9241,59.9263,,0,6,6,6,1,cvmt/sample/s7.jpg,o,1.0925,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,116652,115,1,2024-03-07_13h30.53.784,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,59.93,61.9201,n,1,61.9212,61.9241,,0,,,61.9254,61.9282,,61.9293,61.9316,,0,7,7,7,1,cvmt/sample/s8.jpg,n,0.9646,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,116652,115,1,2024-03-07_13h30.53.784,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,61.9356,63.9311,n,1,63.932,63.9348,,0,,,63.9362,63.9389,,63.94,63.9422,,0,8,8,8,1,cvmt/sample/s9.jpg,n,0.7857,,,,,,,,,,,,,,,,,,,,,,,,,,,
