load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp.rt,cvmt_key_resp.duration,key_resp_15.rt,key_resp_15.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent,brocantoIntro.started,brocantoIntro.stopped,vocabInstr.started,vocabInstr.stopped,vocabLearnTrial.started,vocabLearnTrial.stopped,vocabLearnTrials.thisRepN,vocabLearnTrials.thisTrialN,vocabLearnTrials.thisN,vocabLearnTrials.thisIndex,vocabLearnTrials.ran,word,img,audio_vocab,version,vocabRepeat.started,vocabRepeat.stopped,vrepeat_key_resp.keys,vrepeat_key_resp.rt,vrepeat_key_resp.duration,vocabRep.thisRepN,vocabRep.thisTrialN,vocabRep.thisN,vocabRep.thisIndex,vocabRep.ran,vocabTestInstr.started,vocabTestInstr.stopped,vocabTest.started,vocabTest.stopped,vtest_key_resp.keys,vtest_key_resp.rt,vtest_key_resp.duration,vocabTest_fb.started,vocabTest_fb.stopped,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,too_fast_punish.ran,vocabTestTrials.thisRepN,vocabTestTrials.thisTrialN,vocabTestTrials.thisN,vocabTestTrials.thisIndex,vocabTestTrials.ran,experimentFlow.thisRepN,experimentFlow.thisTrialN,experimentFlow.thisN,experimentFlow.thisIndex,experimentFlow.ran,experimentFlow.order,session,mem_test_reps,cvmt,cvmtP1_reps,cvmtP2_reps,asrt,crtt,cspan,english_ajt_reps,brocanto_learn_reps,brocanto_gjt_reps,brocantoLearnPrax.thisRepN,brocantoLearnPrax.thisTrialN,brocantoLearnPrax.thisN,brocantoLearnPrax.thisIndex,brocantoLearnPrax.ran,brocantoLearnPrax.order,brocantoResources,vocabPhase.thisRepN,vocabPhase.thisTrialN,vocabPhase.thisN,vocabPhase.thisIndex,vocabPhase.ran,vocabPhase.order,vocabTestTrials.order
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,26.0357,28.0323,,0,28.0326,29.6322,n,1,1.591,,29.6325,29.6377,,29.6379,29.6383,,0,9,9,9,1,cvmt/sample/s10.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,29.639,31.6322,o,1,31.6325,31.6339,,0,,,31.6342,31.6347,,31.6349,40.4541,c,0,10,10,10,1,cvmt/sample/s11.jpg,o,0.7275,,,,8.7958,1E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,40.4554,41.8654,41.8718,43.8653,n,1,43.8653,43.8654,,0,,,43.8654,43.8656,,43.8656,43.8663,,0,0,0,0,1,cvmt/test_items/t1.jpeg,n,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,43.8664,45.8654,n,1,45.8654,45.8655,,0,,,45.8655,45.8657,,45.8657,45.8658,,0,1,1,1,1,cvmt/test_items/t2.jpeg,n,1.1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,45.8659,47.8653,n,0,47.8654,47.8654,,0,,,47.8655,47.8657,,47.8657,47.8657,,0,2,2,2,1,cvmt/test_items/t3.jpeg,o,0.6552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,47.8659,49.8653,n,0,49.8653,49.8654,,0,,,49.8654,49.8657,,49.8657,49.8657,,0,3,3,3,1,cvmt/test_items/t4.jpeg,o,0.4137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,49.8658,51.8653,n,0,51.8653,51.8654,,0,,,51.8654,51.8656,,51.8656,51.8656,,0,4,4,4,1,cvmt/test_items/t5.jpeg,o,0.2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,51.8657,53.8653,n,0,53.8653,53.8654,,0,,,53.8654,53.8657,,53.8657,53.8657,,0,5,5,5,1,cvmt/test_items/t6.jpeg,o,0.0193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,53.8658,55.8653,n,0,55.8653,55.8653,,0,,,55.8654,55.8656,,55.8656,55.8656,,0,6,6,6,1,cvmt/test_items/t7.jpeg,o,0.5174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,55.8657,57.8653,n,0,57.8653,57.8654,,0,,,57.8654,57.8657,,57.8657,57.8657,,0,7,7,7,1,cvmt/test_items/t8.jpeg,o,0.4336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,57.8659,59.8652,n,0,59.8653,59.8654,,0,,,59.8654,59.8656,,59.8656,59.8656,,0,8,8,8,1,cvmt/test_items/t9.jpeg,o,1.4128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,59.8657,61.8653,n,0,61.8653,61.8653,,0,,,61.8653,61.8656,,61.8656,61.8656,,0,9,9,9,1,cvmt/test_items/t10.jpeg,o,1.1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117478,031,1,2024-03-05_22h24.32.830,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,61.8657,63.8653,n,1,63.8653,63.8654,,0,,,63.8654,63.8656,,63.8656,63.8657,,0,10,10,10,1,cvmt/test_items/t11.jpeg,n,0.6024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
