word,img,sentence,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,S2_sentLearnTrials.thisRepN,S2_sentLearnTrials.thisTrialN,S2_sentLearnTrials.thisN,S2_sentLearnTrials.thisIndex,S2_sentPraxPhase.thisRepN,S2_sentPraxPhase.thisTrialN,S2_sentPraxPhase.thisN,S2_sentPraxPhase.thisIndex,s2_sentPrax_C,s2_sentPrax_P,s4_sentPrax_C,s4_sentPrax_P,s5_sentPrax_C,s5_sentPrax_P,s6_sentPrax_C,s6_sentPrax_P,S2_sentPraxC_block.thisRepN,S2_sentPraxC_block.thisTrialN,S2_sentPraxC_block.thisN,S2_sentPraxC_block.thisIndex,S2_sentPraxP_block.thisRepN,S2_sentPraxP_block.thisTrialN,S2_sentPraxP_block.thisN,S2_sentPraxP_block.thisIndex,S2_sentPraxP_trials.thisRepN,S2_sentPraxP_trials.thisTrialN,S2_sentPraxP_trials.thisN,S2_sentPraxP_trials.thisIndex,target,foils,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,answerbox.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_fb.started,S2_vtest_fb.stopped,S2_vtest_eval.started,S2_v_phase_end.started,S2_v_phase_end.keys,S2_v_phase_end.rt,sent_learn_instr_text.started,sent_learn_begin.started,sent_learn_img.started,sent_text.started,sent_prax_instr_text.started,sent_prax_begin.started,sentPrax_P_instr_text.started,sentPrax_P_begin.started,blankITI_2.started,sent_Prax_P_img.started,sent_Prax_P_img.stopped,blankITI_2.stopped,S2_sentPrax_P_key_resp.started,S2_sentPraxP_resp,S2_sentPraxP_rts,sent_Prax_P_img_3.started,sent_Prax_P_text.started,participant,session,date,expName,psychopyVersion,frameRate,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.901099500013515,13.901099500013515,13.901099500013515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.245261100004427,14.245261100004427,14.245261100004427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.633136599994032,14.633136599994032,t,1.72851260000607,16.37258190001012,16.37258190001012,16.402103700005682,lu pleck,"[0.8115758000058122, 0.3039316000067629, 1.0135619000066072, 1.5599698000005446, 1.0735658000048716, 1.70594909999636, 1.2395508000045083, 1.7980002000113018, 1.6295243999920785]",16.402103700005682,16.402103700005682,16.402103700005682,"['l', 'u', 'space', 'p', 'l', 'e', 'c', 'k', 'return']","[0.8115758000058122, 1.115507400012575, 1.31749350001337, 2.573531700007152, 2.633535600005416, 2.7795149000012316, 2.9454999000008684, 3.03755100001581, 3.4275246000033803]",19.841321999992942,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.85255519999191,lu neep,"[0.6233125999860931, 0.20782250000047497, 0.7433492999989539, 0.31764409999595955, 0.8773748000094201, 0.4617998999892734, 0.9651542000065092, 0.7559951999865007]",20.85255519999191,20.85255519999191,20.85255519999191,"['l', 'u', 'space', 'n', 'e', 'e', 'p', 'return']","[0.6233125999860931, 0.8311350999865681, 0.9511717999994289, 1.0609933999949135, 1.1950189000053797, 1.3391746999986935, 1.4269540999957826, 1.7211493999930099]",22.584457799996017,23.592706199997338,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.592706199997338,lu blom,"[0.4389000999799464, 0.19403990000137128, 0.5228498999786098, 0.40823150001233444, 0.6666481999855023, 0.614210900006583, 1.028727099968819, 0.8462186000251677]",23.592706199997338,23.592706199997338,23.592706199997338,"['l', 'u', 'space', 'b', 'l', 'o', 'm', 'return']","[0.4389000999799464, 0.6329399999813177, 0.716889799979981, 0.9310813999909442, 1.0748796999978367, 1.2808590999920852, 1.642937999975402, 1.8749456999939866]",25.475258899998153,26.482716500002425,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.482716500002425,lu vode,"[0.5749949000019114, 0.21593469998333603, 0.8950531000155024, 0.951872799982084, 1.0670218000013847, 1.0318100999866147, 1.2530631000117864, 1.2998114999791142]",26.482716500002425,26.482716500002425,26.482716500002425,"['l', 'u', 'space', 'v', 'o', 'd', 'e', 'return']","[0.5749949000019114, 0.7909295999852475, 1.1109877999988385, 1.8469258999975864, 2.0188945999834687, 2.0988318999879993, 2.284873199998401, 2.5528745999909006]",29.04501070000697,30.052354699990246,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.052354699990246,lu troise,"[0.4815072999917902, 0.20576800001435913, 0.6055834999715444, 0.3816899000375997, 0.7636478999629617, 0.47951100004138425, 0.9177851999411359, 0.5454919000621885, 1.0277861999347806, 0.7694933000602759]",30.052354699990246,30.052354699990246,30.052354699990246,"['l', 'u', 'space', 't', 'r', 'o', 'i', 's', 'e', 'return']","[0.4815072999917902, 0.6872753000061493, 0.8113514999859035, 0.9872734000091441, 1.1453378000005614, 1.243158900004346, 1.3972961999825202, 1.4632771000033244, 1.573278099996969, 1.7972794999950565]",31.856959800003096,32.86306860001059,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.86306860001059,lu neimo,"[0.3646959000034258, 0.17995479999808595, 0.5325640999944881, 0.2679366000229493, 0.6445981999859214, 0.35799020002014004, 0.7885481999837793, 0.5419616000144742, 0.9966559000022244]",32.86306860001059,32.86306860001059,32.86306860001059,"['l', 'u', 'space', 'n', 'e', 'i', 'm', 'o', 'return']","[0.3646959000034258, 0.5446507000015117, 0.712518899992574, 0.8005007000174373, 0.9125348000088707, 1.0025884000060614, 1.1465384000039194, 1.3305097999982536, 1.5386175000166986]",34.40841609999188,35.41530870000133,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.41530870000133,lu pleck,"[0.8382959000009578, 0.17008599999826401, 1.0722633000114001, 0.22206460000597872, 1.1485943000006955, 0.40366280000307597, 1.430633600015426, 0.5337469000078272, 1.730671600002097, 0.673628100019414, 2.0266739999933634, 0.7896372000104748, 2.18267310000374, 1.2896028000104707, 2.418718400003854, 1.4315549000166357, 2.612707899999805, 1.5456757000065409, 3.1006578000087757]",35.41530870000133,35.41530870000133,35.41530870000133,"['l', 'u', 'space', 'p', 'l', 'e', 'c', 'backspace', 'backspace', 'backspace', 'backspace', 'space', 'backspace', 'backspace', 'space', 'p', 'l', 'e', 'c', 'k', 'return']","[0.8382959000009578, 1.0083818999992218, 1.1203784000244923, 1.2423493000096641, 1.2943279000173789, 1.3706589000066742, 1.5522571000037715, 1.834296400018502, 1.9643805000232533, 2.1024734000093304, 2.264418500009924, 2.404299700021511, 2.7003021000127774, 2.816311200003838, 2.9723103000142146, 3.4722759000142105, 3.708321200014325, 3.85027330002049, 4.0442628000164405, 4.158383600006346, 4.6463335000153165]",40.068983100005426,41.07571890001418,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.07571890001418,lu neep,"[0.7618808000115678, 0.16802529999404214, 0.8878288000123575, 0.29427459998987615, 0.9855817000207026, 0.436277099972358, 1.055581800028449, 0.6323116999701597]",41.07571890001418,41.07571890001418,41.07571890001418,"['l', 'u', 'space', 'n', 'e', 'e', 'p', 'return']","[0.7618808000115678, 0.9299061000056099, 1.0558541000063997, 1.1821034000022337, 1.2798563000105787, 1.4218587999930605, 1.491858900000807, 1.6878934999986086]",42.771872300014365,43.77857789999689,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h42.29.510,Memory and Syntax,2022.2.5,164.92125009861752,
