cvmt,asrt,crtt,rspan,onsetTime,thisImage,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,cvmtBlock.thisRepN,cvmtBlock.thisTrialN,cvmtBlock.thisN,cvmtBlock.thisIndex,asrtBlock.thisRepN,asrtBlock.thisTrialN,asrtBlock.thisN,asrtBlock.thisIndex,crttBlock.thisRepN,crttBlock.thisTrialN,crttBlock.thisN,crttBlock.thisIndex,crttPracticeLoop.thisRepN,crttPracticeLoop.thisTrialN,crttPracticeLoop.thisN,crttPracticeLoop.thisIndex,crttExptLoop.thisRepN,crttExptLoop.thisTrialN,crttExptLoop.thisN,crttExptLoop.thisIndex,load_text.started,load_text.stopped,startMouse.started,startMouse.stopped,keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,crttTrialRespTimes,crtt_stim.started,crtt_stim.stopped,text_fb.started,text_fb.stopped,moveOnKeys.keys,moveOnKeys.started,moveOnKeys.stopped,moveOnMouse.started,moveOnMouse.stopped,moveOnKeys.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,1,0,1.3,images/target_cross.jpg,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,b,1,0.5609509944915771,[],[],[],[],[],[],[],-0.7390490055084229,69.79886603355408,70.04852604866028,,,,,,,,,,,,,,,,,,,,1,1,2022-09-09_11h51.16.938,memory and syntax,2022.1.1,60.27329385340309,
0,0,1,0,1.1,images/target_square.jpg,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,4,4,5,,,,,v,1,0.5228230953216553,[],[],[],[],[],[],[],-0.5771769046783448,70.36538004875183,70.61562013626099,,,,,,,,,,,,,,,,,,,,1,1,2022-09-09_11h51.16.938,memory and syntax,2022.1.1,60.27329385340309,
0,0,1,0,1.5,images/target_plus.jpg,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,5,5,4,,,,,v,1,0.44126296043395996,[],[],[],[],[],[],[],-1.05873703956604,70.89862012863159,71.14967107772827,,,,,,,,,,,,,,,,,,,,1,1,2022-09-09_11h51.16.938,memory and syntax,2022.1.1,60.27329385340309,
0,0,1,0,1.5,images/target_cross.jpg,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,6,6,6,,,,,b,1,0.4090428352355957,[],[],[],[],[],[],[],-1.0909571647644043,71.34829616546631,71.59827518463135,,,,,,,,,,,,,,,,,,,,1,1,2022-09-09_11h51.16.938,memory and syntax,2022.1.1,60.27329385340309,
0,0,1,0,1.3,images/target_plus.jpg,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,7,7,1,,,,,v,1,0.39818406105041504,[],[],[],[],[],[],[],-0.901815938949585,71.76557302474976,72.0153260231018,,,,,,,,,,,,,,,,,,,,1,1,2022-09-09_11h51.16.938,memory and syntax,2022.1.1,60.27329385340309,
0,0,1,0,1.5,images/target_square.jpg,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,8,8,2,,,,,b,1,0.3727860450744629,[],[],[],[],[],[],[],-1.127213954925537,72.18237519264221,72.43206119537354,,,,,,,,,,,,,,,,,,,,1,1,2022-09-09_11h51.16.938,memory and syntax,2022.1.1,60.27329385340309,
0,0,1,0,1.5,images/target_square.jpg,0,0,0,0,,,,,,,,,0,0,0,0,,,,,1,0,9,2,,,,,v,1,0.3420100212097168,[],[],[],[],[],[],[],-1.1579899787902832,72.56518507003784,72.81555509567261,,,,,,,,,,,,,,,,,,,,1,1,2022-09-09_11h51.16.938,memory and syntax,2022.1.1,60.27329385340309,
0,0,1,0,1.1,images/target_square.jpg,0,0,0,0,,,,,,,,,0,0,0,0,,,,,1,1,10,5,,,,,v,1,0.399914026260376,[],[],[],[],[],[],[],-0.7000859737396241,72.91506218910217,73.16528415679932,,,,,,,,,,,,,,,,,,,,1,1,2022-09-09_11h51.16.938,memory and syntax,2022.1.1,60.27329385340309,
0,0,1,0,1.5,images/target_cross.jpg,0,0,0,0,,,,,,,,,0,0,0,0,,,,,1,2,11,6,,,,,v,0,0.2733120918273926,[],[],[],[],[],[],[],-1.2266879081726074,73.33158302307129,73.5819640159607,,,,,,,,,,,,,,,,,,,,1,1,2022-09-09_11h51.16.938,memory and syntax,2022.1.1,60.27329385340309,
0,0,1,0,1.3,images/target_plus.jpg,0,0,0,0,,,,,,,,,0,0,0,0,,,,,1,3,12,1,,,,,b,0,0.19577288627624512,[],[],[],[],[],[],[],-1.104227113723755,73.61500096321106,None,,,,,,,,,,,,,,,,,,,,1,1,2022-09-09_11h51.16.938,memory and syntax,2022.1.1,60.27329385340309,
