load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp.rt,cvmt_key_resp.duration,key_resp_15.rt,key_resp_15.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,161.473,163.472,,0,163.472,164.188,o,1,0.702,,164.188,164.188,,164.188,259.891,r,1,10,21,10,1,cvmt/sample/s11.jpg,o,,,,,95.683,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,259.892,261.892,,0,261.892,268.843,n,1,6.929,,268.843,268.844,,268.844,268.851,,2,0,22,0,1,cvmt/sample/s1.jpg,n,,,,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,268.851,270.843,n,1,270.843,270.843,,0,,,270.843,270.844,,270.844,270.844,,2,1,23,1,1,cvmt/sample/s2.jpg,n,1.725,,,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,270.845,272.843,,0,272.843,274.459,o,1,1.602,,274.459,274.46,,274.46,274.46,,2,2,24,2,1,cvmt/sample/s3.jpg,o,,,,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,274.46,276.459,,0,276.46,280.559,o,0,4.086,,280.559,286.793,c,286.793,286.793,,2,3,25,3,1,cvmt/sample/s4.jpg,n,,,6.206,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,286.794,288.793,,0,288.793,289.11,n,1,0.3,,289.11,289.116,,289.116,289.117,,2,4,26,4,1,cvmt/sample/s5.jpg,n,,,,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,289.117,291.11,o,0,291.11,291.111,,0,,,291.111,297.327,c,297.327,297.327,,2,5,27,5,1,cvmt/sample/s6.jpg,n,1.576,,6.189,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,297.328,299.327,,0,299.327,301.444,o,1,2.1,,301.444,301.449,,301.449,301.449,,2,6,28,6,1,cvmt/sample/s7.jpg,o,,,,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,301.45,303.444,o,0,303.444,303.444,,0,,,303.444,306.944,c,306.944,306.944,,2,7,29,7,1,cvmt/sample/s8.jpg,n,0.911,,3.473,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,306.945,308.944,,0,308.944,310.061,n,1,1.106,,310.061,310.065,,310.065,310.066,,2,8,30,8,1,cvmt/sample/s9.jpg,n,,,,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,310.066,312.061,n,1,312.061,312.061,,0,,,312.061,312.062,,312.062,312.062,,2,9,31,9,1,cvmt/sample/s10.jpg,n,0.946,,,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,312.062,314.061,n,0,314.061,314.061,,0,,,314.062,317.978,c,317.978,321.311,r,2,10,32,10,1,cvmt/sample/s11.jpg,o,0.081,,3.894,,3.305,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,321.312,323.311,,0,323.311,336.578,n,1,13.251,,336.579,336.586,,336.586,336.587,,3,0,33,0,1,cvmt/sample/s1.jpg,n,,,,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,336.588,338.578,n,1,338.578,338.579,,0,,,338.579,338.579,,338.579,338.579,,3,1,34,1,1,cvmt/sample/s2.jpg,n,1.965,,,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,338.579,340.579,,0,340.579,347.095,o,1,6.504,,347.095,347.095,,347.095,347.095,,3,2,35,2,1,cvmt/sample/s3.jpg,o,,,,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,347.095,349.095,,0,349.095,349.229,n,1,0.117,,349.229,349.23,,349.23,349.23,,3,3,36,3,1,cvmt/sample/s4.jpg,n,,,,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,349.231,351.229,,0,351.229,357.246,n,1,6.008,,357.246,357.246,,357.247,357.247,,3,4,37,4,1,cvmt/sample/s5.jpg,n,,,,,,
,,107635,054,1,2024-03-08_08h55.13.039,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,357.247,359.246,o,0,359.246,359.246,,0,,,359.247,363.329,c,363.329,363.33,,3,5,38,5,1,cvmt/sample/s6.jpg,n,1.499,,4.056,,,
