sentence,img,s2_sentPrax_C,s2_sentPrax_P,s4_sentPrax_C,s4_sentPrax_P,s5_sentPrax_C,s5_sentPrax_P,s6_sentPrax_C,s6_sentPrax_P,target,foils,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_sentLearnTrials.thisRepN,S2_sentLearnTrials.thisTrialN,S2_sentLearnTrials.thisN,S2_sentLearnTrials.thisIndex,S2_sentPraxPhase.thisRepN,S2_sentPraxPhase.thisTrialN,S2_sentPraxPhase.thisN,S2_sentPraxPhase.thisIndex,S2_sentPraxC_block.thisRepN,S2_sentPraxC_block.thisTrialN,S2_sentPraxC_block.thisN,S2_sentPraxC_block.thisIndex,S2_sentPraxP_block.thisRepN,S2_sentPraxP_block.thisTrialN,S2_sentPraxP_block.thisN,S2_sentPraxP_block.thisIndex,S2_sentPraxP_trials.thisRepN,S2_sentPraxP_trials.thisTrialN,S2_sentPraxP_trials.thisN,S2_sentPraxP_trials.thisIndex,too_fast_punish3.thisRepN,too_fast_punish3.thisTrialN,too_fast_punish3.thisN,too_fast_punish3.thisIndex,brocanto_story.started,start_brocanto.started,sent_learn_instr_text.started,sent_learn_begin.started,sent_learn_img.started,sent_text.started,sent_prax_instr_text.started,sent_prax_begin.started,sentPrax_P_instr_text.started,sentPrax_P_begin.started,blankITI_2.started,sent_Prax_P_img.started,blankITI_2.stopped,sent_Prax_P_img.stopped,S2_sentPraxP_resp,S2_sentPraxP_rts,S2_sentPrax_P_key_resp.started,sent_Prax_P_img_3.started,sent_Prax_P_text.started,S2_sentPrax_P_key_resp.keys,S2_sentPrax_P_key_resp.rt,sentPrax_P_fb.started,sentPrax_score_update_2.started,tooFast_score.started,participant,session,date,expName,psychopyVersion,frameRate,
noyka lu pleck lu vode,brocanto/stims/to_use/sentence75.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,137.14938059999258,137.14938059999258,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h27.01.318,Memory and Syntax,2022.2.5,164.98301498931562,
lu neimo praz li,brocanto/stims/to_use/sentence72.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,143.73908969998593,143.73908969998593,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h27.01.318,Memory and Syntax,2022.2.5,164.98301498931562,
lu neimo nim li,brocanto/stims/to_use/sentence36.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,150.33855069999117,150.33855069999117,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h27.01.318,Memory and Syntax,2022.2.5,164.98301498931562,
yab lu vode lu neep,brocanto/stims/to_use/sentence53.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,156.94618480000645,156.94618480000645,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h27.01.318,Memory and Syntax,2022.2.5,164.98301498931562,
lu blom praz li,brocanto/stims/to_use/sentence69.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,163.54011339999852,163.54011339999852,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h27.01.318,Memory and Syntax,2022.2.5,164.98301498931562,
lu neep zayma li,brocanto/stims/to_use/sentence104.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,170.1408528999891,170.1408528999891,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h27.01.318,Memory and Syntax,2022.2.5,164.98301498931562,
noyka lu vode lu neep,brocanto/stims/to_use/sentence89.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,176.75046989999828,176.75046989999828,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h27.01.318,Memory and Syntax,2022.2.5,164.98301498931562,
noyka lu neimo lu troise,brocanto/stims/to_use/sentence102.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,183.34976139999344,183.34976139999344,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h27.01.318,Memory and Syntax,2022.2.5,164.98301498931562,
yab lu neep lu vode,brocanto/stims/to_use/sentence44.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,189.94960130000254,189.94960130000254,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h27.01.318,Memory and Syntax,2022.2.5,164.98301498931562,
lu vode nim li,brocanto/stims/to_use/sentence34.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,196.53823089998332,196.53823089998332,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h27.01.318,Memory and Syntax,2022.2.5,164.98301498931562,
