load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp.rt,cvmt_key_resp.duration,key_resp_15.rt,key_resp_15.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
0,0.194,110563,171,1,2024-03-13_00h22.58.745,Memory and Syntax,2023.2.3,MacIntel,71.42857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110563,171,1,2024-03-13_00h22.58.745,Memory and Syntax,2023.2.3,MacIntel,71.42857143,0.211,2.663,2.668,4.747,4.776,6.749,,0,6.749,30.913,n,1,24.124,,30.913,30.916,,30.916,30.916,,0,0,0,0,1,cvmt/sample/s1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110563,171,1,2024-03-13_00h22.58.745,Memory and Syntax,2023.2.3,MacIntel,71.42857143,,,,,30.917,32.913,n,1,32.913,32.914,,0,,,32.914,32.914,,32.914,32.914,,0,1,1,1,1,cvmt/sample/s2.jpg,n,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110563,171,1,2024-03-13_00h22.58.745,Memory and Syntax,2023.2.3,MacIntel,71.42857143,,,,,32.915,34.914,,0,34.914,36.415,o,1,1.491,,36.415,36.416,,36.416,36.416,,0,2,2,2,1,cvmt/sample/s3.jpg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110563,171,1,2024-03-13_00h22.58.745,Memory and Syntax,2023.2.3,MacIntel,71.42857143,,,,,36.416,38.416,o,0,38.416,38.417,,0,,,38.417,52.897,c,52.897,52.898,,0,3,3,3,1,cvmt/sample/s4.jpg,n,1.716,,14.45,,,,,,,,,,,,,,,,,,,,,,,,,
,,110563,171,1,2024-03-13_00h22.58.745,Memory and Syntax,2023.2.3,MacIntel,71.42857143,,,,,52.898,54.893,n,1,54.893,54.893,,0,,,54.893,54.897,,54.897,54.897,,0,4,4,4,1,cvmt/sample/s5.jpg,n,1.067,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110563,171,1,2024-03-13_00h22.58.745,Memory and Syntax,2023.2.3,MacIntel,71.42857143,,,,,54.898,56.894,n,1,56.894,56.894,,0,,,56.894,56.895,,56.895,56.895,,0,5,5,5,1,cvmt/sample/s6.jpg,n,0.735,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110563,171,1,2024-03-13_00h22.58.745,Memory and Syntax,2023.2.3,MacIntel,71.42857143,,,,,56.895,58.895,o,1,58.895,58.895,,0,,,58.895,58.896,,58.896,58.896,,0,6,6,6,1,cvmt/sample/s7.jpg,o,1.212,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110563,171,1,2024-03-13_00h22.58.745,Memory and Syntax,2023.2.3,MacIntel,71.42857143,,,,,58.896,60.896,n,1,60.896,60.896,,0,,,60.896,60.897,,60.897,60.897,,0,7,7,7,1,cvmt/sample/s8.jpg,n,1.021,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110563,171,1,2024-03-13_00h22.58.745,Memory and Syntax,2023.2.3,MacIntel,71.42857143,,,,,60.897,62.897,n,1,62.897,62.898,,0,,,62.898,62.898,,62.898,62.898,,0,8,8,8,1,cvmt/sample/s9.jpg,n,0.712,,,,,,,,,,,,,,,,,,,,,,,,,,,
