load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,34.0377,36.0341,n,0,0.5344,,36.0341,36.0343,,0,36.0343,36.0349,,36.0349,36.0349,,0,3,3,3,1,cvmt/test_items/t4.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,36.0353,38.0319,n,0,0.4088,,38.032,38.0322,,0,38.0323,38.0328,,38.0328,38.0329,,0,4,4,4,1,cvmt/test_items/t5.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,38.0332,40.0291,n,0,0.7152,,40.0292,40.0298,,0,40.0298,40.0305,,40.0305,40.0306,,0,5,5,5,1,cvmt/test_items/t6.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,40.0309,42.027,n,0,0.4937,,42.0272,42.0275,,0,42.0275,42.0281,,42.0281,42.0282,,0,6,6,6,1,cvmt/test_items/t7.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,42.0286,44.0256,o,1,0.7105,,44.0256,44.0259,,0,44.0259,44.0265,,44.0265,44.0266,,0,7,7,7,1,cvmt/test_items/t8.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,44.0269,46.0225,n,0,1.0483,,46.0225,46.0227,,0,46.0229,46.0234,,46.0234,46.0235,,0,8,8,8,1,cvmt/test_items/t9.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,46.0239,48.0199,n,0,0.6922,,48.0199,48.0202,,0,48.0203,48.0207,,48.0207,48.0208,,0,9,9,9,1,cvmt/test_items/t10.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,48.0212,50.0171,n,1,1.3788,,50.0172,50.0174,,0,50.0175,50.018,,50.018,50.018,,0,10,10,10,1,cvmt/test_items/t11.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,50.028,52.0315,n,0,0.5782,,52.0315,52.0318,,0,52.0318,52.0328,,52.0328,52.0329,,0,11,11,11,1,cvmt/test_items/t12.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,52.0334,54.029,o,1,0.4553,,54.029,54.0292,,0,54.0293,54.0299,,54.0302,54.0303,,0,12,12,12,1,cvmt/test_items/t13.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,54.0307,56.0269,o,1,0.8541,,56.027,56.0274,,0,56.0276,56.0282,,56.0282,56.0283,,0,13,13,13,1,cvmt/test_items/t14.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,56.0289,58.0243,o,1,0.5267,,58.0243,58.0246,,0,58.0246,58.0251,,58.0252,58.0252,,0,14,14,14,1,cvmt/test_items/t15.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,58.0255,60.0216,o,1,0.6836,,60.0217,60.0219,,0,60.0219,60.0224,,60.0225,60.0226,,0,15,15,15,1,cvmt/test_items/t16.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,60.023,62.0196,n,0,0.8392,,62.0196,62.0204,,0,62.0204,62.021,,62.021,62.0211,,0,16,16,16,1,cvmt/test_items/t17.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,62.0214,64.0168,o,1,0.5858,,64.0168,64.017,,0,64.0171,64.0177,,64.0178,64.0179,,0,17,17,17,1,cvmt/test_items/t18.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,64.0182,66.0144,n,1,0.6084,,66.0144,66.0148,,0,66.0148,66.0152,,66.0153,66.0154,,0,18,18,18,1,cvmt/test_items/t19.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,66.0157,68.0122,o,1,0.4827,,68.0122,68.0125,,0,68.0125,68.0131,,68.0131,68.0131,,0,19,19,19,1,cvmt/test_items/t20.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,68.0135,70.0099,n,0,0.7038,,70.01,70.0102,,0,70.0104,70.0109,,70.011,70.0111,,0,20,20,20,1,cvmt/test_items/t21.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,110723,198,1,2024-03-05_20h45.03.155,Memory and Syntax,2023.2.3,Linux x86_64,59.88023952,,,,,70.0115,72.0072,n,0,0.6114,,72.0073,72.0076,,0,72.0076,72.008,,72.008,72.0081,,0,21,21,21,1,cvmt/test_items/t22.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
