word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,answerbox.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,participant,session,date,expName,psychopyVersion,frameRate,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,10.301413999986835,10.301413999986835,11.018354199986788,11.571124399997643,11.571124399997643,11.571124399997643,,,,,,,,,,,,,1,2,2023-02-20_17h41.55.340,Memory and Syntax,2022.2.5,70.06701910020277,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,12.244654199996148,12.244654199996148,12.244654199996148,,,,,,,,,,,,,1,2,2023-02-20_17h41.55.340,Memory and Syntax,2022.2.5,70.06701910020277,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,,,,12.415386199994828,12.415386199994828,12.415386199994828,,,,,,,,,,,,,1,2,2023-02-20_17h41.55.340,Memory and Syntax,2022.2.5,70.06701910020277,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,5,,,,,,,,12.585659799995483,12.585659799995483,12.585659799995483,,,,,,,,,,,,,1,2,2023-02-20_17h41.55.340,Memory and Syntax,2022.2.5,70.06701910020277,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,12.743432999996003,12.743432999996003,12.743432999996003,,,,,,,,,,,,,1,2,2023-02-20_17h41.55.340,Memory and Syntax,2022.2.5,70.06701910020277,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,0,,,,,,,,13.042573599988827,13.042573599988827,13.042573599988827,,,,,,,,,,,,,1,2,2023-02-20_17h41.55.340,Memory and Syntax,2022.2.5,70.06701910020277,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,3,,,,,,,,13.184431899993797,13.184431899993797,13.184431899993797,,,,,,,,,,,,,1,2,2023-02-20_17h41.55.340,Memory and Syntax,2022.2.5,70.06701910020277,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,2,,,,,,,,13.367376700000023,13.367376700000023,13.367376700000023,,,,,,,,,,,,,1,2,2023-02-20_17h41.55.340,Memory and Syntax,2022.2.5,70.06701910020277,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,5,,,,,,,,13.523716399999103,13.523716399999103,13.523716399999103,,,,,,,,,,,,,1,2,2023-02-20_17h41.55.340,Memory and Syntax,2022.2.5,70.06701910020277,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,0,,,,,,,,13.667350399991847,13.667350399991847,13.667350399991847,,,,,,,,,,,,,1,2,2023-02-20_17h41.55.340,Memory and Syntax,2022.2.5,70.06701910020277,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,1,,,,,,,,13.837025499989977,13.837025499989977,13.837025499989977,,,,,,,,,,,,,1,2,2023-02-20_17h41.55.340,Memory and Syntax,2022.2.5,70.06701910020277,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,4,,,,,,,,13.982615099987015,13.982615099987015,13.982615099987015,,,,,,,,,,,,,1,2,2023-02-20_17h41.55.340,Memory and Syntax,2022.2.5,70.06701910020277,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.121807099989383,14.121807099989383,t,0.8780048999906285,15.01882189999742,15.01882189999742,15.659868999995524,Type response now,[],15.659868999995524,15.659868999995524,15.659868999995524,,,,,,,
