load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp.rt,cvmt_key_resp.duration,key_resp_15.rt,key_resp_15.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
0.0002,0.2037,115012,072,1,2024-03-07_12h23.33.037,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115012,072,1,2024-03-07_12h23.33.037,Memory and Syntax,2023.2.3,Win32,59.88023952,0.2433,8.6673,8.6796,9.3028,9.3549,11.321,,0,11.3233,11.4208,n,1,0.064,,11.4233,11.4501,,11.452,11.455,,0,0,0,0,1,cvmt/sample/s1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115012,072,1,2024-03-07_12h23.33.037,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,11.4583,13.4545,,0,13.4568,13.754,n,1,0.269,,13.7561,13.7612,,13.763,13.7664,,0,1,1,1,1,cvmt/sample/s2.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115012,072,1,2024-03-07_12h23.33.037,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,13.7719,15.7714,,0,15.7739,16.2106,o,1,0.41,,16.2132,16.2178,,16.2193,16.223,,0,2,2,2,1,cvmt/sample/s3.jpg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115012,072,1,2024-03-07_12h23.33.037,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,16.2292,18.2208,n,1,18.2233,18.2284,,0,,,18.2301,18.2338,,18.2356,18.2394,,0,3,3,3,1,cvmt/sample/s4.jpg,n,1.433,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115012,072,1,2024-03-07_12h23.33.037,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,18.2438,20.2376,n,1,20.2399,20.2447,,0,,,20.2465,20.2501,,20.2518,20.2547,,0,4,4,4,1,cvmt/sample/s5.jpg,n,0.8889,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115012,072,1,2024-03-07_12h23.33.037,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,20.2586,22.2539,n,1,22.2564,22.261,,0,,,22.2627,22.2662,,22.2678,22.2708,,0,5,5,5,1,cvmt/sample/s6.jpg,n,0.8606,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115012,072,1,2024-03-07_12h23.33.037,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,22.276,24.2709,n,0,24.2732,24.2779,,0,,,24.2795,28.4378,c,28.4397,28.4442,,0,6,6,6,1,cvmt/sample/s7.jpg,o,0.3645,,4.1351,,,,,,,,,,,,,,,,,,,,,,,,,
,,115012,072,1,2024-03-07_12h23.33.037,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,28.4611,30.454,,0,30.456,31.0536,n,1,0.5689,,31.0556,31.0617,,31.0632,31.0664,,0,7,7,7,1,cvmt/sample/s8.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115012,072,1,2024-03-07_12h23.33.037,Memory and Syntax,2023.2.3,Win32,59.88023952,,,,,31.0705,33.0703,n,1,33.0722,33.0771,,0,,,33.0791,33.0826,,33.084,33.0867,,0,8,8,8,1,cvmt/sample/s9.jpg,n,0.9442,,,,,,,,,,,,,,,,,,,,,,,,,,,
