load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,key_resp_15.rt,key_resp_15.duration,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,515.3829,517.3811,o,1,517.3812,517.3814,,0,,,517.3814,517.3818,,517.3818,517.3819,,0,117,117,117,1,cvmt/test_items/t118.jpeg,o,,,0.4221,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,517.3822,519.3805,o,1,519.3806,519.3808,,0,,,519.3808,519.3813,,519.3813,519.3814,,0,118,118,118,1,cvmt/test_items/t119.jpeg,o,,,0.3237,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,519.3816,521.3801,o,1,521.3801,521.3804,,0,,,521.3804,521.3808,,521.3808,521.381,,0,119,119,119,1,cvmt/test_items/t120.jpeg,o,,,0.688,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,521.3812,523.3817,,0,523.3817,525.0308,o,1,1.637,,525.0308,525.0435,,525.0435,525.0436,,0,120,120,120,1,cvmt/test_items/t121.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,525.0438,527.0342,o,1,527.0342,527.0369,,0,,,527.037,527.0373,,527.0373,527.0373,,0,121,121,121,1,cvmt/test_items/t122.jpeg,o,,,0.6983,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,527.0376,529.0313,o,0,529.0314,529.0491,o,0,0.0005,,529.0492,529.0495,,529.0495,529.0496,,0,122,122,122,1,cvmt/test_items/t123.jpeg,n,,,0.3662,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,529.0497,531.055,o,1,531.055,531.0551,,0,,,531.0551,531.0554,,531.0554,531.0556,,0,123,123,123,1,cvmt/test_items/t124.jpeg,o,,,0.1594,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,531.0557,533.0498,o,1,533.0498,533.0501,,0,,,533.0501,533.0504,,533.0504,533.0505,,0,124,124,124,1,cvmt/test_items/t125.jpeg,o,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,533.0507,535.0459,o,1,535.0459,541.0305,n,0,5.9655,,541.0305,541.0434,,541.0434,541.0435,,0,125,125,125,1,cvmt/test_items/t126.jpeg,o,,,0.1363,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,541.0436,543.0477,n,0,543.0477,543.0517,,0,,,543.0517,543.0521,,543.0521,543.0522,,0,126,126,126,1,cvmt/test_items/t127.jpeg,o,,,0.1823,,,,,,,,,,,,,,,,,,,,,,,,,
