word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vocabTest_resp,S2_vocabTest_resp.rts,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,24.861945152282715,None,26.867625951766968,None,space,1.5064551830291748,26.867625951766968,None,30.24883008003235,None,30.24883008003235,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,31.360435009002686,None,31.360435009002686,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,32.1613450050354,None,32.1613450050354,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,33.80010104179382,None,33.80010104179382,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,34.897639989852905,None,34.897639989852905,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,35.60279703140259,None,35.60279703140259,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,5,,,,,,,,,,,,,,,,,36.29508900642395,None,36.29508900642395,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,0,,,,,,,,,,,,,,,,,42.41640615463257,None,42.41640615463257,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,2,,,,,,,,,,,,,,,,,43.44369101524353,None,43.44369101524353,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,3,,,,,,,,,,,,,,,,,45.06490993499756,None,45.06490993499756,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,4,,,,,,,,,,,,,,,,,46.27178406715393,None,46.27178406715393,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,1,,,,,,,,,,,,,,,,,47.31848216056824,None,47.31848216056824,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,47.90938711166382,None,t,2.5867769718170166,47.90938711166382,None,50.526201009750366,None,,[1.20540189743042],['return'],[1.20540189743042],51.773998975753784,None,51.773998975753784,None,51.773998975753784,None,57.02534294128418,None,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,[1.4423489570617676],['return'],[1.4423489570617676],58.49537515640259,None,58.49537515640259,None,58.49537515640259,None,63.95835995674133,63.95835995674133,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,[0.045675039291381836],['return'],[0.045675039291381836],64.95858693122864,None,64.95858693122864,None,64.95858693122864,None,69.02481412887573,69.02481412887573,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,lu vode,"[1.6519739627838135, 2.1058449745178223, 2.409909963607788, 2.5458929538726807, 2.701788902282715, 3.1852359771728516, 3.336637020111084, 3.497515916824341, 3.6396560668945312, 4.457573890686035, 4.687122106552124, 5.022543907165527, 5.145586967468262, 5.717036962509155, 6.181955099105835, 6.399594068527222, 6.825355052947998, 7.145400047302246, 7.294086933135986, 7.4158430099487305, 7.615689992904663, 8.052685976028442]","['l', 'u', 'space', 'v', 'o', 'd', 'backspace', 'backspace', 'backspace', 'backspace', 'u', 'space', 'l', 'backspace', 'backspace', 'u', 'space', 'l', 'backspace', 'v', 'o', 'd', 'e', 'return']","[1.6519739627838135, 1.8917648792266846, 2.1058449745178223, 2.409909963607788, 2.5458929538726807, 2.701788902282715, 3.1852359771728516, 3.336637020111084, 3.497515916824341, 3.6396560668945312, 4.291795015335083, 4.457573890686035, 4.687122106552124, 5.022543907165527, 5.145586967468262, 5.717036962509155, 6.181955099105835, 6.399594068527222, 6.825355052947998, 7.145400047302246, 7.294086933135986, 7.4158430099487305, 7.615689992904663, 8.052685976028442]",70.90173006057739,None,70.90173006057739,None,70.90173006057739,None,78.9746310710907,None,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,[0.4001801013946533],['return'],[0.4001801013946533],80.52454495429993,None,80.52454495429993,None,80.52454495429993,None,84.95760703086853,None,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,[0.04846501350402832],['return'],[0.04846501350402832],85.99248600006104,None,85.99248600006104,None,85.99248600006104,None,90.05736303329468,90.05736303329468,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,[0.03615999221801758],['return'],[0.03615999221801758],91.07614493370056,None,91.07614493370056,None,91.07614493370056,None,95.14045715332031,95.14045715332031,1,2,2022-10-15_22h41.38.626,memory and syntax,2022.1.1,60.06329530841427,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5.380051136016846],None,,96.55700030326844,None,96.55700030326844,None,96.55700030326844,None,,,,,,,,,
