word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vocabTest_resp,S2_vocabTest_resp.rts,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,16.826847791671753,None,18.856748819351196,None,space,1.3739330768585205,18.856748819351196,None,22.289098024368286,None,22.289098024368286,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,23.178936004638672,None,23.178936004638672,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,24.841822862625122,None,24.841822862625122,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,26.080014944076538,None,26.080014944076538,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,27.857450008392334,None,27.857450008392334,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,29.54877781867981,None,29.54877781867981,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,1,,,,,,,,,,,,,,,,,32.83809280395508,None,32.83809280395508,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,3,,,,,,,,,,,,,,,,,35.29762601852417,None,35.29762601852417,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,4,,,,,,,,,,,,,,,,,36.64306402206421,None,36.64306402206421,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,0,,,,,,,,,,,,,,,,,37.4270339012146,None,37.4270339012146,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,5,,,,,,,,,,,,,,,,,38.33393383026123,None,38.33393383026123,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,2,,,,,,,,,,,,,,,,,39.19704580307007,None,39.19704580307007,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,40.02995991706848,None,t,1.2082710266113281,40.02995991706848,None,41.26337289810181,None,lu pleck,[5.197596788406372],"['l', 'u', 'p', 'backspace', 'space', 'p', 'backspace', 'backspace', 'backspace', 'space', 'p', 'l', 'e', 'c', 'k', 'return']","[0.8769638538360596, 1.1335599422454834, 1.4718518257141113, 1.8799068927764893, 2.0592539310455322, 2.29895281791687, 2.668646812438965, 2.861633777618408, 3.1489179134368896, 3.57324481010437, 3.8435349464416504, 3.9255268573760986, 4.080948829650879, 4.287776947021484, 4.852005958557129, 5.197596788406372]",42.10054397583008,None,42.10054397583008,None,42.10054397583008,None,47.33813691139221,None,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,lu neep,[2.3917930126190186],"['l', 'u', 'space', 'n', 'e', 'e', 'p', 'return']","[0.8947060108184814, 1.1903140544891357, 1.3661961555480957, 1.531769037246704, 1.7059152126312256, 1.8690102100372314, 2.0301480293273926, 2.3917930126190186]",48.914443016052246,None,48.914443016052246,None,48.914443016052246,None,51.330668926239014,None,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,lu blom,[3.712455987930298],"['l', 'u', 'space', 'b', 'l', 'o', 'm', 'return']","[2.495866060256958, 2.7542409896850586, 2.905104160308838, 3.087764024734497, 3.170727014541626, 3.3288521766662598, 3.4303371906280518, 3.712455987930298]",52.33794283866882,None,52.33794283866882,None,52.33794283866882,None,56.07996582984924,None,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,lu vode,[5.818411111831665],"['l', 'u', 'space', 'v', 'o', 'd', 'e', 'return', 'return']","[0.847337007522583, 1.0726990699768066, 1.2112350463867188, 1.4071440696716309, 1.4890961647033691, 1.6231200695037842, 1.7962770462036133, 1.9721980094909668, 5.818411111831665]",58.04311990737915,None,58.04311990737915,None,58.04311990737915,None,63.88032388687134,None,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,lu troise,[2.502610921859741],"['l', 'u', 'space', 't', 'r', 'o', 'i', 's', 'e', 'return']","[0.5716249942779541, 0.8550369739532471, 1.3460090160369873, 1.6022658348083496, 1.7928109169006348, 1.8821518421173096, 2.0728678703308105, 2.1550209522247314, 2.2981159687042236, 2.502610921859741]",65.36523079872131,None,65.36523079872131,None,65.36523079872131,None,67.90043497085571,None,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,lu neimo,[2.9696898460388184],"['l', 'u', 'space', 'n', 'e', 'i', 'm', 'o', 'return']","[1.001276969909668, 1.256286859512329, 1.501734972000122, 1.9941508769989014, 2.211556911468506, 2.31545090675354, 2.447779893875122, 2.650913953781128, 2.9696898460388184]",68.94953489303589,None,68.94953489303589,None,68.94953489303589,None,71.94700598716736,None,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,[0.0878591537475586],['return'],[0.0878591537475586],72.9523868560791,None,72.9523868560791,None,72.9523868560791,None,77.0804979801178,None,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,lu neep,[2.1057779788970947],"['l', 'u', 'space', 'n', 'e', 'e', 'p', 'return']","[0.9762368202209473, 1.178858995437622, 1.3456368446350098, 1.440990924835205, 1.5879440307617188, 1.7292308807373047, 1.865541934967041, 2.1057779788970947]",78.58742785453796,None,78.58742785453796,None,78.58742785453796,None,80.71388101577759,None,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,lu blom,[4.136916875839233],"['l', 'u', 'space', 'b', 'l', 'o', 'm', 'return']","[2.0937349796295166, 2.933115005493164, 3.085541009902954, 3.5043859481811523, 3.636137008666992, 3.786412000656128, 3.8780720233917236, 4.136916875839233]",81.75138783454895,None,81.75138783454895,None,81.75138783454895,None,85.9139130115509,None,1,2,2022-10-15_21h08.34.823,memory and syntax,2022.1.1,60.123994959927415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5.1672868728637695],None,,87.99437158107759,None,87.99437158107759,None,87.99437158107759,None,,,,,,,,,
