word,img,sentence,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,S2_sentLearnTrials.thisRepN,S2_sentLearnTrials.thisTrialN,S2_sentLearnTrials.thisN,S2_sentLearnTrials.thisIndex,S2_sentPraxPhase.thisRepN,S2_sentPraxPhase.thisTrialN,S2_sentPraxPhase.thisN,S2_sentPraxPhase.thisIndex,s2_sentPrax_C,s2_sentPrax_P,s4_sentPrax_C,s4_sentPrax_P,s5_sentPrax_C,s5_sentPrax_P,s6_sentPrax_C,s6_sentPrax_P,S2_sentPraxC_block.thisRepN,S2_sentPraxC_block.thisTrialN,S2_sentPraxC_block.thisN,S2_sentPraxC_block.thisIndex,S2_sentPraxC_trials.thisRepN,S2_sentPraxC_trials.thisTrialN,S2_sentPraxC_trials.thisN,S2_sentPraxC_trials.thisIndex,target,foils,load_text.started,ajt_instr.started,start_ajt.started,start_ajt.keys,start_ajt.rt,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_fb.started,S2_vtest_fb.stopped,S2_vtest_eval.started,S2_v_phase_end.started,S2_v_phase_end.keys,S2_v_phase_end.rt,sent_learn_instr_text.started,sent_learn_begin.started,sent_learn_img.started,sent_text.started,sent_prax_instr_text.started,sent_prax_begin.started,sentPrax_C_instr_text.started,comp_target1.started,comp_target2.started,comp_target3.started,comp_target4.started,sentPrax_C_begin.started,blankITI.started,sentPrax_trg_sent.started,blankITI.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,brocanto/stims/to_use/sentence103.png,lu pleck zayma li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.19819712638855,147.19819712638855,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/placeholders/sentences/ph_sentence9.jpg,klin lu vode lu neep,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.78164410591125,153.78164410591125,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence12.png,klin lu blom lu neep,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.37970399856567,160.37970399856567,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/placeholders/sentences/ph_sentence11.jpg,klin lu neimo lu vode,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.01230716705322,168.01230716705322,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence70.png,lu vode praz li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.65212512016296,173.65212512016296,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence107.png,lu troise zayma li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.21610713005066,180.21610713005066,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence32.png,lu neep nim li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.78072714805603,186.78072714805603,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/placeholders/sentences/ph_sentence15.jpg,klin lu neimo lu pleck,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.3855221271515,193.3855221271515,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence35.png,lu troise nim li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.98279213905334,199.98279213905334,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence79.png,noyka lu neep lu blom,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.6020860671997,206.6020860671997,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence71.png,lu troise praz li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.19877004623413,213.19877004623413,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence75.png,noyka lu pleck lu vode,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.83446502685547,219.83446502685547,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence72.png,lu neimo praz li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.40892601013184,226.40892601013184,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence36.png,lu neimo nim li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.06414318084717,233.06414318084717,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/placeholders/sentences/ph_sentence22.jpg,yab lu vode lu neep,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.58292508125305,239.58292508125305,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence69.png,lu blom praz li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.19167399406433,246.19167399406433,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence104.png,lu neep zayma li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.7847900390625,252.7847900390625,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence89.png,noyka lu vode lu neep,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.404865026474,259.404865026474,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence102.png,noyka lu neimo lu troise,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.0173270702362,266.0173270702362,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence44.png,yab lu neep lu vode,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.60400104522705,272.60400104522705,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,brocanto/stims/to_use/sentence34.png,lu vode nim li,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.18366599082947,279.18366599082947,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.77410411834717,285.77410411834717,293.854052066803,293.854052066803,293.854052066803,293.854052066803,293.854052066803,293.854052066803,296.72956800460815,297.20670318603516,297.20670318603516,,,,,,,
