word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vtest_key_resp.keys,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,19.359321117401123,None,21.375221014022827,None,space,2.5294950008392334,21.375221014022827,None,30.708537101745605,None,30.708537101745605,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h46.04.972,memory and syntax,2022.1.1,60.09255359082144,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,33.60400199890137,None,33.60400199890137,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h46.04.972,memory and syntax,2022.1.1,60.09255359082144,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,35.52964496612549,None,35.52964496612549,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h46.04.972,memory and syntax,2022.1.1,60.09255359082144,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,36.49946117401123,None,36.49946117401123,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h46.04.972,memory and syntax,2022.1.1,60.09255359082144,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,38.17670798301697,None,38.17670798301697,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h46.04.972,memory and syntax,2022.1.1,60.09255359082144,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,41.19202709197998,None,41.19202709197998,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h46.04.972,memory and syntax,2022.1.1,60.09255359082144,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,4,,,,,,,,,,,,,,,,,42.98849296569824,None,42.98849296569824,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h46.04.972,memory and syntax,2022.1.1,60.09255359082144,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,2,,,,,,,,,,,,,,,,,44.20195913314819,None,44.20195913314819,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h46.04.972,memory and syntax,2022.1.1,60.09255359082144,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,3,,,,,,,,,,,,,,,,,46.28203797340393,None,46.28203797340393,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h46.04.972,memory and syntax,2022.1.1,60.09255359082144,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,1,,,,,,,,,,,,,,,,,48.674232006073,None,48.674232006073,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h46.04.972,memory and syntax,2022.1.1,60.09255359082144,
