word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vocabTest_resp,S2_vocabTest_resp.rts,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,34.64434814453125,None,36.6538360118866,None,b,295.40012216567993,36.6538360118866,None,335.14363503456116,None,335.14363503456116,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_20h31.04.761,memory and syntax,2022.1.1,60.03801845956531,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,353.2649099826813,None,353.2649099826813,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_20h31.04.761,memory and syntax,2022.1.1,60.03801845956531,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,354.68768310546875,None,354.68768310546875,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_20h31.04.761,memory and syntax,2022.1.1,60.03801845956531,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,354.8953959941864,None,354.8953959941864,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_20h31.04.761,memory and syntax,2022.1.1,60.03801845956531,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,357.12399101257324,None,357.12399101257324,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_20h31.04.761,memory and syntax,2022.1.1,60.03801845956531,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,357.5166931152344,None,357.5166931152344,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_20h31.04.761,memory and syntax,2022.1.1,60.03801845956531,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,4,,,,,,,,,,,,,,,,,359.5212881565094,None,359.5212881565094,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_20h31.04.761,memory and syntax,2022.1.1,60.03801845956531,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,0,,,,,,,,,,,,,,,,,361.63755106925964,None,361.63755106925964,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_20h31.04.761,memory and syntax,2022.1.1,60.03801845956531,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,5,,,,,,,,,,,,,,,,,362.8294150829315,None,362.8294150829315,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_20h31.04.761,memory and syntax,2022.1.1,60.03801845956531,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,1,,,,,,,,,,,,,,,,,364.0799820423126,None,364.0799820423126,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_20h31.04.761,memory and syntax,2022.1.1,60.03801845956531,
