load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,gjt_load.started,gjt_load.stopped,gjtInstr2.started,gjtInstr2.stopped,gjtMS_pres.started,gjtMS_pres.stopped,gjtMS_res.started,gjtMS_res.stopped,gjt_key_resp_2.keys,gjt_key_resp_2.corr,gjt_key_resp_2.rt,gjt_key_resp_2.duration,gjtMS_trials.thisRepN,gjtMS_trials.thisTrialN,gjtMS_trials.thisN,gjtMS_trials.thisIndex,gjtMS_trials.ran,version,list,sentence,arg_str,old_or_new,test_item,condition,gjt_corrAns,img,audio,asrt.started,asrt,asrt.stopped
0.0011,0.0198,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,0.0378,0.9369,0.937,4.8916,4.8969,11.3882,11.3883,13.4372,n,0,0.0413,,0,0,0,0,1,v1.1,2,klin lu troise lu neimo,transitive,new,klin lu troise lu neimo,grammatical,y,brocanto/stims/img/sentence25.png,brocanto/stims/audio/klin_lu_troise_lu_neimo_2.,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,13.438,19.9427,19.9428,21.984,n,1,0.8297,,0,1,1,1,1,v1.1,2,yab lu vode lu neep,transitive,old,lu vode yab lu neep,ungrammatical,n,brocanto/stims/img/sentence53.png,brocanto/stims/audio/yab_lu_vode_lu_neep_1.,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,21.9861,28.4805,28.481,30.5222,n,0,0.1067,,0,2,2,2,1,v1.1,2,lu neep gop li,intransitive,old,lu neep gop li,grammatical,y,brocanto/stims/img/sentence110.png,brocanto/stims/audio/lu_neep_gop_li_2.,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,30.5231,37.0177,37.0177,39.0604,n,0,0.187,,0,3,3,3,1,v1.1,2,yab lu troise lu neimo,transitive,old,yab lu troise lu neimo,grammatical,y,brocanto/stims/img/sentence61.png,brocanto/stims/audio/yab_lu_troise_lu_neimo_1.,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,39.0627,45.5588,45.559,47.5999,n,0,0.0193,,0,4,4,4,1,v1.1,2,noyka lu neimo lu pleck,transitive,old,noyka lu neimo lu pleck,filler,y,brocanto/stims/img/sentence98.png,brocanto/stims/audio/noyka_lu_neimo_lu_pleck_1.,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,47.6061,54.096,54.0961,56.1447,n,1,0.0667,,0,5,5,5,1,v1.1,2,klin lu pleck lu troise,transitive,old,lu pleck klin lu troise,ungrammatical,n,brocanto/stims/img/sentence4.png,brocanto/stims/audio/klin_lu_pleck_lu_troise_2.,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,56.1509,62.6536,62.654,64.6941,n,0,0.1749,,0,6,6,6,1,v1.1,2,lu neimo zayma li,intransitive,new,lu neimo zayma li,grammatical,y,brocanto/stims/img/sentence108.png,brocanto/stims/audio/lu_neimo_zayma_li_2.,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,64.7013,71.1992,71.1993,73.2404,n,1,0.134,,0,7,7,7,1,v1.1,2,lu troise praz li,intransitive,new,lu troise praz,ungrammatical,n,brocanto/stims/img/sentence71.png,brocanto/stims/audio/lu_troise_praz_li_2.,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,73.2465,79.7476,79.748,81.7976,n,1,0.0016,,0,8,8,8,1,v1.1,2,gop lu blom lu vode,transitive,old,lu blom gop lu vode,ungrammatical,n,brocanto/stims/img/sentence127.png,brocanto/stims/audio/gop_lu_blom_lu_vode_1.,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,81.8041,88.3024,88.3024,90.352,n,1,0.0679,,0,9,9,9,1,v1.1,2,gop lu neimo lu pleck,transitive,old,gop lu pleck lu neimo,filler,n,brocanto/stims/img/sentence140.png,brocanto/stims/audio/gop_lu_neimo_lu_pleck_1.,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,90.3586,96.8576,96.8576,98.9155,n,1,0.1628,,0,10,10,10,1,v1.1,2,lu neep praz li,intransitive,old,lu neep praz,ungrammatical,n,brocanto/stims/img/sentence68.png,brocanto/stims/audio/lu_neep_praz_li_1.,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,98.9222,105.4216,105.4218,107.4715,n,0,0.1865,,0,11,11,11,1,v1.1,2,lu pleck nim li,intransitive,new,lu pleck nim li,filler,y,brocanto/stims/img/sentence31.png,brocanto/stims/audio/lu_pleck_nim_li_2.,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,107.4805,113.9685,113.9688,116.0176,n,0,0.0928,,0,12,12,12,1,v1.1,2,yab lu blom lu vode,transitive,old,yab lu blom lu vode,grammatical,y,brocanto/stims/img/sentence49.png,brocanto/stims/audio/yab_lu_blom_lu_vode_2.,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,116.0252,122.5162,122.5164,124.5662,n,0,0.1227,,0,13,13,13,1,v1.1,2,gop lu neep lu blom,transitive,old,gop lu neep lu blom,grammatical,y,brocanto/stims/img/sentence121.png,brocanto/stims/audio/gop_lu_neep_lu_blom_2.,,,
,,114767,131,2,2024-04-07_13h20.42.400,Memory and Syntax,2023.2.3,Win32,59.17159763,,,,,124.5727,131.0627,131.063,133.1144,n,0,0.5509,,0,14,14,14,1,v1.1,2,lu vode nim li,intransitive,old,lu vode nim li,filler,y,brocanto/stims/img/sentence34.png,brocanto/stims/audio/lu_vode_nim_li_2.,,,
