word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vocabTest_resp,S2_vocabTest_resp.rts,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,22.554268836975098,None,24.56836700439453,None,space,1.959238052368164,24.56836700439453,None,34.150033950805664,None,34.150033950805664,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h24.39.362,memory and syntax,2022.1.1,60.07990018922221,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,36.392159938812256,None,36.392159938812256,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h24.39.362,memory and syntax,2022.1.1,60.07990018922221,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,37.26282000541687,None,37.26282000541687,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h24.39.362,memory and syntax,2022.1.1,60.07990018922221,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,39.18345093727112,None,39.18345093727112,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h24.39.362,memory and syntax,2022.1.1,60.07990018922221,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,39.72582697868347,None,39.72582697868347,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h24.39.362,memory and syntax,2022.1.1,60.07990018922221,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,41.10107684135437,None,41.10107684135437,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h24.39.362,memory and syntax,2022.1.1,60.07990018922221,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,3,,,,,,,,,,,,,,,,,42.956297874450684,None,42.956297874450684,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h24.39.362,memory and syntax,2022.1.1,60.07990018922221,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,0,,,,,,,,,,,,,,,,,43.872270822525024,None,43.872270822525024,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h24.39.362,memory and syntax,2022.1.1,60.07990018922221,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,2,,,,,,,,,,,,,,,,,44.54494881629944,None,44.54494881629944,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h24.39.362,memory and syntax,2022.1.1,60.07990018922221,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,1,,,,,,,,,,,,,,,,,45.55275082588196,None,45.55275082588196,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h24.39.362,memory and syntax,2022.1.1,60.07990018922221,
