load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,key_resp_15.rt,key_resp_15.duration,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
1E-04,0.2408,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,0.2564,9.0414,9.05,9.9586,10.0021,11.962,,0,11.9631,25.7804,n,1,13.7939,,25.7813,25.7914,,25.7918,25.7932,,0,0,0,0,1,cvmt/sample/s1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,25.7947,27.7951,,0,27.7965,28.6931,o,0,0.8816,,28.6935,37.5615,c,37.5623,37.5655,,0,1,1,1,1,cvmt/sample/s2.jpg,n,8.855,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,37.5809,39.5761,o,1,39.5775,39.5818,,0,,,39.5826,39.587,,39.5878,39.5891,,0,2,2,2,1,cvmt/sample/s3.jpg,o,,,1.899,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,39.5914,41.5966,n,1,41.5977,41.5996,,0,,,41.6005,41.6037,,41.6044,41.6058,,0,3,3,3,1,cvmt/sample/s4.jpg,n,,,0.949,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,41.608,43.6098,o,0,43.6112,43.6134,,0,,,43.6141,47.027,c,47.028,47.0301,,0,4,4,4,1,cvmt/sample/s5.jpg,n,3.3935,,1.398,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,47.045,49.0434,,0,49.0448,49.2601,n,1,0.1981,,49.2614,49.2653,,49.2662,49.2692,,0,5,5,5,1,cvmt/sample/s6.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,49.2715,51.2604,n,0,51.2612,51.2631,,0,,,51.2653,53.2941,c,53.2955,53.2975,,0,6,6,6,1,cvmt/sample/s7.jpg,o,2.0128,,1.0001,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,53.3001,55.2941,o,0,55.2955,55.299,,0,,,55.3007,55.9295,c,55.9309,55.9329,,0,7,7,7,1,cvmt/sample/s8.jpg,n,0.6039,,1.2167,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,55.9369,57.9285,n,1,57.9296,57.9329,,0,,,57.9336,57.9376,,57.9384,57.9398,,0,8,8,8,1,cvmt/sample/s9.jpg,n,,,1.4175,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,57.942,59.9454,n,1,59.9465,59.9485,,0,,,59.9492,59.951,,59.9517,59.9546,,0,9,9,9,1,cvmt/sample/s10.jpg,n,,,0.7138,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,59.9569,61.9622,o,1,61.9634,61.9653,,0,,,61.9661,61.9678,,61.9685,69.4791,r,0,10,10,10,1,cvmt/sample/s11.jpg,o,,,1.2494,,7.4844,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,69.4953,71.4964,o,0,71.4976,71.5021,,0,,,71.5028,76.3117,c,76.3128,76.3157,,1,0,11,0,1,cvmt/sample/s1.jpg,n,4.7915,,1.3487,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,76.3316,78.33,o,0,78.3311,78.3344,,0,,,78.335,85.4142,c,85.4153,85.4172,,1,1,12,1,1,cvmt/sample/s2.jpg,n,7.0629,,1.7428,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,85.433,87.4294,,0,87.4308,87.434,,0,,,87.4362,91.4109,c,91.412,91.4137,,1,2,13,2,1,cvmt/sample/s3.jpg,o,3.9627,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,91.4286,93.4283,,0,93.4289,106.6625,n,1,13.2182,,106.664,106.6687,,106.6696,106.6711,,1,3,14,3,1,cvmt/sample/s4.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,106.6734,108.6652,o,0,108.6666,108.6703,,0,,,108.6709,108.6741,,108.6748,108.6763,,1,4,15,4,1,cvmt/sample/s5.jpg,n,,,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,108.6784,110.679,n,1,110.6805,110.6823,,0,,,110.6829,110.6846,,110.6863,110.6883,,1,5,16,5,1,cvmt/sample/s6.jpg,n,,,1.3831,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,110.6905,112.6807,o,1,112.6817,112.6836,,0,,,112.6843,112.6877,,112.6886,112.6899,,1,6,17,6,1,cvmt/sample/s7.jpg,o,,,1.2234,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,112.6922,114.6978,o,0,114.6988,114.7008,,0,,,114.7015,117.479,c,117.4801,117.4818,,1,7,18,7,1,cvmt/sample/s8.jpg,n,2.7583,,1.2204,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,117.4971,119.4959,,0,119.4971,119.5975,o,0,0.085,,119.5989,142.2818,c,142.283,142.2847,,1,8,19,8,1,cvmt/sample/s9.jpg,n,22.6672,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,142.3004,144.2965,,0,144.2977,150.6971,n,1,6.3854,,150.6984,150.7128,,150.7135,150.7149,,1,9,20,9,1,cvmt/sample/s10.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,150.7167,152.7157,,0,152.7168,155.2496,n,0,2.5146,,155.2507,158.8491,c,158.8503,163.201,r,1,10,21,10,1,cvmt/sample/s11.jpg,o,3.5662,,,,4.3367,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,163.2178,165.2181,o,0,165.2194,165.2227,,0,,,165.2238,172.2646,c,172.2658,172.269,,2,0,22,0,1,cvmt/sample/s1.jpg,n,7.0212,,1.837,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,172.2858,174.2815,n,1,174.2828,174.2865,,0,,,174.2874,174.2916,,174.2922,174.2937,,2,1,23,1,1,cvmt/sample/s2.jpg,n,,,1.9629,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,174.2958,176.2981,,0,176.2993,176.3985,n,0,0.0902,,176.3993,178.3141,c,178.3153,178.3169,,2,2,24,2,1,cvmt/sample/s3.jpg,o,1.885,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,178.3197,180.3178,n,1,180.3189,180.3221,,0,,,180.3229,180.3269,,180.3276,180.329,,2,3,25,3,1,cvmt/sample/s4.jpg,n,,,1.2318,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,180.3311,182.3346,n,1,182.336,182.3382,,0,,,182.339,182.3407,,182.3413,182.3435,,2,4,26,4,1,cvmt/sample/s5.jpg,n,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,115478,088,1,2024-03-13_15h04.01.259,Memory and Syntax,2023.2.3,MacIntel,60.0024001,,,,,182.3464,184.3488,n,1,184.3497,184.3516,,0,,,184.3536,184.3556,,184.3562,184.3576,,2,5,27,5,1,cvmt/sample/s6.jpg,n,,,0.6689,,,,,,,,,,,,,,,,,,,,,,,,,
