word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,13.563841104507446,None,15.589658975601196,None,space,0.5431859493255615,15.589658975601196,None,16.773590087890625,None,16.773590087890625,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h58.13.173,memory and syntax,2022.1.1,59.907075064094784,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,18.36493492126465,None,18.36493492126465,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h58.13.173,memory and syntax,2022.1.1,59.907075064094784,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,18.86663293838501,None,18.86663293838501,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h58.13.173,memory and syntax,2022.1.1,59.907075064094784,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,19.62205195426941,None,19.62205195426941,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h58.13.173,memory and syntax,2022.1.1,59.907075064094784,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,19.704077005386353,None,19.704077005386353,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h58.13.173,memory and syntax,2022.1.1,59.907075064094784,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,20.008767127990723,None,20.008767127990723,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h58.13.173,memory and syntax,2022.1.1,59.907075064094784,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,0,,,,,,,,,,,,,,,,,20.424243927001953,None,20.424243927001953,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h58.13.173,memory and syntax,2022.1.1,59.907075064094784,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,5,,,,,,,,,,,,,,,,,20.74264907836914,None,20.74264907836914,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h58.13.173,memory and syntax,2022.1.1,59.907075064094784,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,4,,,,,,,,,,,,,,,,,21.699218034744263,None,21.699218034744263,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h58.13.173,memory and syntax,2022.1.1,59.907075064094784,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,3,,,,,,,,,,,,,,,,,23.272674083709717,None,23.272674083709717,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h58.13.173,memory and syntax,2022.1.1,59.907075064094784,
