word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vtest_key_resp.keys,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,36.76816201210022,None,38.77403211593628,None,space,0.7384350299835205,38.77403211593628,None,40.14489817619324,None,40.14489817619324,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h22.21.082,memory and syntax,2022.1.1,60.05933902285354,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,42.048150062561035,None,42.048150062561035,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h22.21.082,memory and syntax,2022.1.1,60.05933902285354,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,43.20947504043579,None,43.20947504043579,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h22.21.082,memory and syntax,2022.1.1,60.05933902285354,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,44.16264295578003,None,44.16264295578003,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h22.21.082,memory and syntax,2022.1.1,60.05933902285354,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,44.5256130695343,None,44.5256130695343,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h22.21.082,memory and syntax,2022.1.1,60.05933902285354,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,45.041375160217285,None,45.041375160217285,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h22.21.082,memory and syntax,2022.1.1,60.05933902285354,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,0,,,,,,,,,,,,,,,,,45.455671072006226,None,45.455671072006226,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h22.21.082,memory and syntax,2022.1.1,60.05933902285354,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,2,,,,,,,,,,,,,,,,,45.86818814277649,None,45.86818814277649,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h22.21.082,memory and syntax,2022.1.1,60.05933902285354,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,4,,,,,,,,,,,,,,,,,46.792317152023315,None,46.792317152023315,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h22.21.082,memory and syntax,2022.1.1,60.05933902285354,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,1,,,,,,,,,,,,,,,,,47.658369064331055,None,47.658369064331055,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h22.21.082,memory and syntax,2022.1.1,60.05933902285354,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,5,,,,,,,,,,,,,,,,,48.00271797180176,None,48.00271797180176,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h22.21.082,memory and syntax,2022.1.1,60.05933902285354,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,3,,,,,,,,,,,,,,,,,49.74809503555298,None,49.74809503555298,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h22.21.082,memory and syntax,2022.1.1,60.05933902285354,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,50.46822118759155,None,t,1.2907750606536865,50.46822118759155,None,51.784022092819214,None,None,52.54905700683594,None,52.54905700683594,None,52.54905700683594,None,56.52012515068054,None,1,2,2022-10-15_19h22.21.082,memory and syntax,2022.1.1,60.05933902285354,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,58.083927392959595,None,58.083927392959595,None,58.083927392959595,None,58.118273973464966,None,,,,,,,
