load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,key_resp_15.rt,key_resp_15.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,92.4873,94.4886,o,0,0.7644,,94.4887,94.5381,o,0,0.0314,,94.5381,94.5385,,94.5385,94.5386,,0,23,23,23,1,cvmt/test_items/t24.jpeg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,94.5388,96.5375,o,1,0.2019,,96.5375,96.5378,,0,,,96.5378,96.5382,,96.5382,96.5382,,0,24,24,24,1,cvmt/test_items/t25.jpeg,o,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,96.5386,98.5383,o,0,0.0178,,98.5383,98.5385,,0,,,98.5386,98.539,,98.5391,98.5392,,0,25,25,25,1,cvmt/test_items/t26.jpeg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,98.5395,100.5398,o,1,0.2925,,100.5399,100.5401,,0,,,100.5401,100.5406,,100.5406,100.5407,,0,26,26,26,1,cvmt/test_items/t27.jpeg,o,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,100.5409,102.5382,o,0,0.3015,,102.5383,102.5385,,0,,,102.5385,102.5389,,102.539,102.5391,,0,27,27,27,1,cvmt/test_items/t28.jpeg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,102.5394,104.5372,o,0,0.8494,,104.5372,104.5374,,0,,,104.5374,104.5379,,104.538,104.5381,,0,28,28,28,1,cvmt/test_items/t29.jpeg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,104.5384,106.5373,o,1,0.5734,,106.5373,106.5375,,0,,,106.5375,106.5377,,106.5377,106.5377,,0,29,29,29,1,cvmt/test_items/t30.jpeg,o,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,106.5379,108.5382,o,1,0.3175,,108.5382,108.5384,,0,,,108.5385,108.5389,,108.539,108.539,,0,30,30,30,1,cvmt/test_items/t31.jpeg,o,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,108.5393,110.5373,o,0,0.2375,,110.5375,110.5376,,0,,,110.5377,110.538,,110.5381,110.5382,,0,31,31,31,1,cvmt/test_items/t32.jpeg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,110.5385,177.5187,,0,,,177.5187,178.6028,n,1,1.067,,178.6029,178.6165,,178.6165,178.6165,,0,32,32,32,1,cvmt/test_items/t33.jpeg,n,,,,
,,113834,119,1,2024-03-05_22h47.56.942,Memory and Syntax,2023.2.3,MacIntel,59.88023952,,,,,178.6167,180.6188,n,0,0.491,,180.6189,180.6191,,0,,,180.6191,180.6194,,180.6194,180.6195,,0,33,33,33,1,cvmt/test_items/t34.jpeg,o,,,,
