load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp.rt,cvmt_key_resp.duration,key_resp_15.rt,key_resp_15.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration
0.0001,0.0103,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,0.0412,3.327,3.3355,4.7738,4.8192,6.7785,,0,6.7789,8.2742,n,1,1.4792,,8.2746,8.2861,,8.2866,8.2878,,0,0,0,0,1,cvmt/sample/s1.jpg,n,,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,8.2893,10.2918,n,1,10.2923,10.2953,,0,,,10.2958,10.297,,10.2974,10.2983,,0,1,1,1,1,cvmt/sample/s2.jpg,n,1.1265,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,10.2996,12.3001,o,1,12.3007,12.3017,,0,,,12.3021,12.3031,,12.3036,12.3046,,0,2,2,2,1,cvmt/sample/s3.jpg,o,0.8013,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,12.306,14.3082,n,1,14.3087,14.3096,,0,,,14.31,14.3111,,14.3115,14.3124,,0,3,3,3,1,cvmt/sample/s4.jpg,n,0.7429,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,14.3138,16.3223,n,1,16.3227,16.3236,,0,,,16.3241,16.3251,,16.3256,16.3264,,0,4,4,4,1,cvmt/sample/s5.jpg,n,0.9753,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,16.3278,18.3248,o,0,18.3254,18.3263,,0,,,18.3267,18.3278,,18.3282,18.3292,,0,5,5,5,1,cvmt/sample/s6.jpg,n,0.6217,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,18.3306,20.3325,o,1,20.3329,20.3339,,0,,,20.3343,20.3354,,20.3359,20.3367,,0,6,6,6,1,cvmt/sample/s7.jpg,o,0.8665,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,20.3382,22.3325,o,0,22.333,22.3339,,0,,,22.3344,26.3164,c,26.3169,26.3181,,0,7,7,7,1,cvmt/sample/s8.jpg,n,1.928,,3.9671,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,26.3301,28.324,n,1,28.3245,28.3273,,0,,,28.3277,28.3295,,28.33,28.3308,,0,8,8,8,1,cvmt/sample/s9.jpg,n,1.4675,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,28.3323,30.3326,n,1,30.3331,30.3342,,0,,,30.3346,30.3357,,30.3362,30.3372,,0,9,9,9,1,cvmt/sample/s10.jpg,n,0.8896,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,30.3387,32.3415,o,1,32.342,32.3429,,0,,,32.3434,32.3445,,32.3449,38.0999,r,0,10,10,10,1,cvmt/sample/s11.jpg,o,0.8827,,,,5.7384,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,38.1111,40.1072,n,1,40.1077,40.1105,,0,,,40.1109,40.1121,,40.1125,40.1141,,1,0,11,0,1,cvmt/sample/s1.jpg,n,1.5376,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,40.1155,42.1158,n,1,42.1163,42.1172,,0,,,42.1177,42.1187,,42.1191,42.1201,,1,1,12,1,1,cvmt/sample/s2.jpg,n,0.7662,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,42.1214,44.1164,n,0,44.1169,44.1178,,0,,,44.1183,49.5578,c,49.5582,49.5591,,1,2,13,2,1,cvmt/sample/s3.jpg,o,0.8924,,5.4277,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,49.5702,51.5661,n,1,51.5667,51.5694,,0,,,51.5698,51.5716,,51.572,51.5728,,1,3,14,3,1,cvmt/sample/s4.jpg,n,1.387,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,51.5742,53.575,n,1,53.5756,53.5767,,0,,,53.5772,53.5782,,53.5786,53.5796,,1,4,15,4,1,cvmt/sample/s5.jpg,n,1.1266,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,53.5809,55.5831,n,1,55.5835,55.5845,,0,,,55.5849,55.586,,55.5864,55.5873,,1,5,16,5,1,cvmt/sample/s6.jpg,n,1.0688,,,,,
,,117572,043,1,2024-03-05_20h55.38.226,Memory and Syntax,2023.2.3,MacIntel,114.9425287,,,,,55.5888,57.5914,o,1,57.5921,57.5931,,0,,,57.5936,57.5946,,57.5951,57.5961,,1,6,17,6,1,cvmt/sample/s7.jpg,o,0.8638,,,,,
