word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,answerbox.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_fb.started,participant,session,date,expName,psychopyVersion,frameRate,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,10.968759299998055,10.968759299998055,17.47515040000144,18.95349569999962,18.95349569999962,18.95349569999962,,,,,,,,,,,,,,,,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,20.454923700002837,20.454923700002837,20.454923700002837,,,,,,,,,,,,,,,,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,5,,,,,,,,,,,,20.93642290000571,20.93642290000571,20.93642290000571,,,,,,,,,,,,,,,,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,,,,,,,,21.293023799997172,21.293023799997172,21.293023799997172,,,,,,,,,,,,,,,,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,3,,,,,,,,,,,,21.763409299994237,21.763409299994237,21.763409299994237,,,,,,,,,,,,,,,,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,2,,,,,,,,,,,,22.31733799999347,22.31733799999347,22.31733799999347,,,,,,,,,,,,,,,,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,4,,,,,,,,,,,,22.745369800002663,22.745369800002663,22.745369800002663,,,,,,,,,,,,,,,,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,2,,,,,,,,,,,,23.05681910000567,23.05681910000567,23.05681910000567,,,,,,,,,,,,,,,,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,1,,,,,,,,,,,,23.44321620000119,23.44321620000119,23.44321620000119,,,,,,,,,,,,,,,,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,0,,,,,,,,,,,,23.953499900002498,23.953499900002498,23.953499900002498,,,,,,,,,,,,,,,,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,3,,,,,,,,,,,,24.56744780000008,24.56744780000008,24.56744780000008,,,,,,,,,,,,,,,,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,5,,,,,,,,,,,,25.10886649999884,25.10886649999884,25.10886649999884,,,,,,,,,,,,,,,,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,25.44842250000511,25.44842250000511,t,1.1226104000088526,26.587540599997737,26.587540599997737,27.570624900006806,lu pleck,"[3.42640830000164, 0.32400090000010096, 3.7623019000020577, 0.5980703000095673, 3.8628798999998253, 0.7073224000050686, 4.043152800004464, 0.7932585000089603, 5.81517359999998]",27.570624900006806,27.570624900006806,27.570624900006806,"['l', 'u', 'space', 'p', 'l', 'e', 'c', 'k', 'return']","[3.42640830000164, 3.750409200001741, 4.086302800002159, 4.360372200011625, 4.460950200009393, 4.570202300004894, 4.750475200009532, 4.836411300013424, 6.60843210000894]",34.20467190000636,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,35.2176005999936,lu neep,"[8.553614899996319, 0.18663180001021829, 8.694879099988611, 0.2744659000163665, 9.794888899981743, 0.45646480002324097, 9.868951399970683, 0.7606718000315595]",35.2176005999936,35.2176005999936,35.2176005999936,"['l', 'u', 'space', 'n', 'e', 'e', 'p', 'return']","[8.553614899996319, 8.740246700006537, 8.88151089999883, 8.969345000004978, 10.06935479999811, 10.251353700004984, 10.325416199993924, 10.629623200002243]",45.86569780000718,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,46.878460499996436,lu blom,"[4.666548200009856, 0.17402739998942707, 4.848581300015212, 0.647894699985045, 4.976552300024196, 0.8499578999762889, 5.062553400028264, 1.5223069999774452]",46.878460499996436,46.878460499996436,46.878460499996436,"['l', 'u', 'space', 'b', 'l', 'o', 'm', 'return']","[4.666548200009856, 4.840575599999283, 5.022608700004639, 5.496476000000257, 5.624447000009241, 5.8265102000004845, 5.912511300004553, 6.584860400005709]",53.48285410000244,1,2,2023-02-20_17h34.38.600,Memory and Syntax,2022.2.5,70.08843057510266,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.49700970000413,Type response now,[],54.49700970000413,54.49700970000413,54.49700970000413,,,,,,,,,,
